src_ip,dest_ip,original_class,z_n,s_n,new_class
10.8.8.130,207.241.227.188,tunneling http trafficc,9.388937675012633e-05,5.82857308000629e-95,regular http traffic
10.8.8.130,207.241.227.212,tunneling http trafficc,8.145676292489276e-05,6.787932528114926e-95,regular http traffic
10.8.8.130,207.241.228.122,tunneling http trafficc,9.507017424632841e-05,5.8641503135676735e-95,regular http traffic
10.8.8.130,207.241.236.176,tunneling http trafficc,8.170146424539181e-05,6.651939281557426e-95,regular http traffic
10.8.8.130,207.241.237.128,tunneling http trafficc,9.411711972184326e-05,5.761799962230585e-95,regular http traffic
10.8.8.138,185.2.220.137,tunneling http trafficc,0.0001743267017275267,2.995724154205845e-95,regular http traffic
10.8.8.138,24.156.130.203,tunneling http trafficc,0.00012429111149748784,4.660535644808313e-95,regular http traffic
185.2.220.137,10.8.8.138,tunneling http trafficc,0.00016659284545414473,5.18204099893315e-95,regular http traffic
207.241.227.188,10.8.8.130,tunneling http trafficc,8.053162111432897e-05,4.727580805003653e-95,regular http traffic
207.241.227.212,10.8.8.130,tunneling http trafficc,6.550910870352287e-05,5.583029578801607e-95,regular http traffic
207.241.227.82,10.8.8.130,tunneling http trafficc,7.286766135280609e-05,5.757461783412479e-95,regular http traffic
207.241.228.122,10.8.8.130,tunneling http trafficc,7.082568559749906e-05,7.10716436958253e-95,regular http traffic
207.241.236.176,10.8.8.130,tunneling http trafficc,5.824561323954144e-05,7.541516463403044e-95,regular http traffic
207.241.237.128,10.8.8.130,tunneling http trafficc,8.175488263715589e-05,4.381777173383067e-95,regular http traffic
24.156.130.203,10.8.8.138,tunneling http trafficc,0.00014453769874790145,6.537910667385667e-95,regular http traffic
