src_ip,dest_ip,original_class,z_n,s_n,new_class
10.8.8.130,207.241.227.188,tunneling http trafficc,3.04197175969593e-05,3.672804502005069e-94,regular http traffic
10.8.8.130,207.241.227.212,tunneling http trafficc,2.5750295799800648e-05,1.0,tunneling http traffic
10.8.8.130,207.241.236.176,tunneling http trafficc,2.667665397600095e-05,1.0,tunneling http traffic
10.8.8.130,207.241.237.128,tunneling http trafficc,3.0278601359450067e-05,3.6607908853868035e-94,regular http traffic
10.8.8.138,185.2.220.137,tunneling http trafficc,5.775126598444697e-05,1.8633029706207323e-94,regular http traffic
10.8.8.138,24.156.130.203,tunneling http trafficc,4.021060697112505e-05,3.525045725185899e-94,regular http traffic
185.2.220.137,10.8.8.138,tunneling http trafficc,5.762961339803586e-05,3.2162610108031455e-94,regular http traffic
207.241.227.188,10.8.8.130,tunneling http trafficc,5.6346444071926406e-05,1.0,tunneling http traffic
207.241.227.212,10.8.8.130,tunneling http trafficc,2.2455705272318873e-05,4.2050827882934596e-94,regular http traffic
207.241.227.82,10.8.8.130,tunneling http trafficc,2.1370783163103386e-05,4.2402796030897305e-94,regular http traffic
207.241.228.122,10.8.8.130,tunneling http trafficc,2.2615118752712355e-05,4.6346434057977973e-94,regular http traffic
207.241.236.176,10.8.8.130,tunneling http trafficc,2.2675769433355316e-05,4.844687256451028e-94,regular http traffic
207.241.237.128,10.8.8.130,tunneling http trafficc,2.1513926836868974e-05,3.6539859343019283e-94,regular http traffic
24.156.130.203,10.8.8.138,tunneling http trafficc,5.08091165637452e-05,3.7965059616891167e-94,regular http traffic
