source_ip,dest_ip,packet_size,time_diff
66.201.189.14,41.204.84.253,566,0
41.204.84.253,66.201.189.14,693,0
66.201.189.14,150.204.83.253,1299,0
150.204.83.253,66.201.189.14,595,0
66.201.189.14,202.11.82.253,451,0
202.11.82.253,66.201.189.14,631,0
66.201.189.14,150.204.83.253,1500,1.4031279999999997
150.204.83.253,66.201.189.14,693,1.4027239999999992
130.68.81.253,66.201.189.14,654,0
130.68.81.253,66.201.189.14,654,1.3741260000000004
66.201.189.14,150.204.83.253,130,3.8649199999999997
150.204.83.253,66.201.189.14,626,3.865229000000001
66.201.189.14,41.204.84.253,129,5.712862
41.204.84.253,66.201.189.14,625,5.713210999999999
66.201.189.14,69.178.85.253,928,0
69.178.85.253,66.201.189.14,636,0
66.201.189.14,202.11.82.253,208,11.615935999999998
202.11.82.253,66.201.189.14,694,11.616188000000001
157.99.66.52,41.204.84.90,127,0
41.204.84.90,157.99.66.52,739,0
66.201.189.14,202.11.82.253,1499,0.6577920000000006
202.11.82.253,66.201.189.14,693,0.6573369999999983
66.201.189.14,69.178.85.253,622,2.8582539999999987
69.178.85.253,66.201.189.14,625,2.8580520000000007
66.201.189.14,69.178.85.253,133,0.006835999999999842
69.178.85.253,66.201.189.14,629,0.006788000000000238
66.201.189.14,150.204.83.253,1321,9.693330999999999
150.204.83.253,66.201.189.14,620,9.693226000000001
66.201.189.14,202.11.82.253,1387,3.074218000000002
202.11.82.253,66.201.189.14,612,3.074376000000001
130.68.81.253,66.201.189.14,654,13.726555999999999
157.99.66.52,41.204.84.103,464,0
41.204.84.103,157.99.66.52,219,0
130.68.81.253,66.201.189.14,654,4.929395000000003
157.99.66.52,41.204.84.102,109,0
41.204.84.102,157.99.66.52,79,0
157.99.66.52,41.204.84.102,144,0.3166940000000018
41.204.84.102,157.99.66.52,229,0.21202899999999758
157.99.66.52,41.204.84.91,127,0
41.204.84.91,157.99.66.52,739,0
157.99.66.52,41.204.84.103,109,3.648852999999999
41.204.84.103,157.99.66.52,472,3.651849999999996
41.204.84.103,157.99.66.52,229,0.018468000000005702
157.99.66.52,41.204.84.103,144,0.036987000000003434
157.99.66.52,41.204.84.102,109,3.8314309999999985
41.204.84.102,157.99.66.52,79,3.9677400000000027
157.99.66.52,41.204.84.102,144,0.3499320000000026
41.204.84.102,157.99.66.52,229,0.19854899999999986
66.201.189.14,202.11.82.253,97,12.848014999999997
202.11.82.253,66.201.189.14,641,12.848405
66.201.189.14,69.178.85.253,1028,13.848693999999998
69.178.85.253,66.201.189.14,417,13.848694000000002
66.201.189.14,130.68.81.253,323,0
130.68.81.253,66.201.189.14,635,5.697138999999996
157.99.66.52,41.204.84.103,109,3.2607889999999955
41.204.84.103,157.99.66.52,472,3.5164899999999975
41.204.84.103,157.99.66.52,229,0.03438899999999734
157.99.66.52,41.204.84.103,144,0.2885520000000028
66.201.189.14,41.204.84.253,109,26.320616
41.204.84.253,66.201.189.14,576,26.320570999999997
41.204.84.253,66.201.189.14,693,0.02999499999999955
66.201.189.14,41.204.84.253,272,0.03244200000000319
157.99.66.52,41.204.84.102,109,7.508840999999997
66.201.189.14,41.204.84.253,109,3.2348379999999963
41.204.84.253,66.201.189.14,576,3.2371830000000017
41.204.84.253,66.201.189.14,693,0.019466000000001316
66.201.189.14,41.204.84.253,272,0.02051500000000317
41.204.84.102,157.99.66.52,79,7.756551999999999
130.68.81.253,66.201.189.14,654,9.058536000000004
130.68.81.253,66.201.189.14,654,0.03348799999999841
157.99.66.52,41.204.84.90,136,26.381546000000004
41.204.84.90,157.99.66.52,740,26.385385
157.99.66.52,41.204.84.90,136,0.02919299999999936
157.99.66.52,41.204.84.102,208,3.9010409999999993
41.204.84.90,157.99.66.52,740,0.026302999999998633
157.99.66.52,41.204.84.90,136,0.014376999999996087
41.204.84.90,157.99.66.52,740,0.01232800000000367
157.99.66.52,41.204.84.90,136,0.013973000000000013
41.204.84.90,157.99.66.52,740,0.01552199999999715
157.99.66.52,41.204.84.90,136,0.013576000000000477
41.204.84.90,157.99.66.52,740,0.012028000000000816
41.204.84.102,157.99.66.52,229,3.5499110000000016
157.99.66.52,41.204.84.90,136,0.01881999999999806
41.204.84.90,157.99.66.52,740,0.018518000000000256
157.99.66.52,41.204.84.90,136,0.010977000000004011
41.204.84.90,157.99.66.52,740,0.01143199999999922
157.99.66.52,41.204.84.90,136,0.011283999999996297
41.204.84.90,157.99.66.52,740,0.011029000000000622
66.201.189.14,41.204.84.253,109,3.815489999999997
41.204.84.253,66.201.189.14,576,3.816488999999997
157.99.66.52,41.204.84.90,136,0.01586900000000213
41.204.84.90,157.99.66.52,740,0.015122999999995557
157.99.66.52,41.204.84.90,137,0.011732000000002074
41.204.84.90,157.99.66.52,740,0.011929000000002077
41.204.84.253,66.201.189.14,693,0.018767000000003975
66.201.189.14,41.204.84.253,1184,0.02066400000000357
157.99.66.52,41.204.84.90,137,0.01037799999999578
41.204.84.90,157.99.66.52,740,0.31884000000000157
157.99.66.52,41.204.84.90,137,0.319189999999999
41.204.84.90,157.99.66.52,740,1.0147049999999993
157.99.66.52,41.204.84.90,137,1.0175990000000041
41.204.84.90,157.99.66.52,740,0.01931600000000344
157.99.66.52,41.204.84.90,137,0.017020000000002256
157.99.66.52,41.204.84.103,109,10.549039
41.204.84.103,157.99.66.52,472,10.564573000000003
41.204.84.103,157.99.66.52,229,0.10701099999999997
157.99.66.52,41.204.84.103,272,0.14793900000000093
41.204.84.90,157.99.66.52,740,1.0141639999999938
157.99.66.52,41.204.84.90,137,1.0223449999999943
41.204.84.90,157.99.66.52,740,0.02594900000000422
157.99.66.52,41.204.84.90,137,0.02535500000000468
41.204.84.90,157.99.66.52,740,0.022612999999999772
157.99.66.52,41.204.84.90,137,0.01467399999999941
41.204.84.90,157.99.66.52,740,0.033388000000002194
157.99.66.52,41.204.84.90,137,0.03723399999999799
66.201.189.14,41.204.84.253,109,3.215121999999994
41.204.84.253,66.201.189.14,576,3.2170190000000005
41.204.84.253,66.201.189.14,693,0.019415999999999656
66.201.189.14,41.204.84.253,272,0.020414000000002375
41.204.84.90,157.99.66.52,740,0.9878619999999998
157.99.66.52,41.204.84.90,137,0.9967400000000026
41.204.84.90,157.99.66.52,740,0.06502899999999556
157.99.66.52,41.204.84.90,137,0.06268899999999888
41.204.84.90,157.99.66.52,740,0.025505000000002553
157.99.66.52,41.204.84.90,137,0.02141300000000257
41.204.84.90,157.99.66.52,740,0.021512000000001308
157.99.66.52,41.204.84.90,137,0.027750999999994974
41.204.84.90,157.99.66.52,740,0.027961999999995157
157.99.66.52,41.204.84.90,137,0.024107000000000767
41.204.84.90,157.99.66.52,740,0.027346000000001425
157.99.66.52,41.204.84.90,137,0.024661999999999296
41.204.84.90,157.99.66.52,740,0.02095700000000278
157.99.66.52,41.204.84.90,137,0.02006200000000291
41.204.84.90,157.99.66.52,740,0.01966499999999627
157.99.66.52,41.204.84.90,137,0.024353999999995324
41.204.84.90,157.99.66.52,740,0.6861400000000017
157.99.66.52,41.204.84.90,137,0.9440820000000016
41.204.84.90,157.99.66.52,740,0.2847459999999984
157.99.66.52,41.204.84.90,137,0.020763999999999783
41.204.84.90,157.99.66.52,740,0.015522000000004255
157.99.66.52,41.204.84.90,137,0.011530000000000484
41.204.84.90,157.99.66.52,740,0.011129999999994311
157.99.66.52,41.204.84.90,137,0.011729000000002543
41.204.84.90,157.99.66.52,740,0.011730000000000018
157.99.66.52,41.204.84.90,137,0.013227000000000544
41.204.84.90,157.99.66.52,740,0.012828000000006057
157.99.66.52,41.204.84.90,137,0.011629999999996699
41.204.84.90,157.99.66.52,740,0.011688999999996952
157.99.66.52,41.204.84.89,920,0
41.204.84.89,157.99.66.52,769,0
157.99.66.52,41.204.84.103,109,3.3971559999999954
41.204.84.103,157.99.66.52,472,3.437928999999997
66.201.189.14,41.204.84.253,109,3.2158209999999983
41.204.84.253,66.201.189.14,576,3.216819000000001
