source_ip,dest_ip,packet_size,time_diff
172.16.133.43,172.16.139.250,265,0
172.16.133.13,172.16.139.250,265,0
172.16.133.20,172.16.139.250,265,0
98.138.19.88,172.16.133.132,66,0
172.16.133.28,172.16.139.250,265,0
172.16.133.132,216.185.152.111,450,0
172.16.133.99,172.16.139.250,265,0
172.16.133.87,172.16.139.250,265,0
172.16.133.116,172.16.139.250,265,0
172.16.133.132,98.139.134.187,472,0
172.16.133.116,172.16.139.250,265,0.007998000000000005
172.16.133.35,172.16.139.250,265,0
172.16.133.116,172.16.139.250,265,0.006186999999999998
216.185.152.111,172.16.133.132,630,0
172.16.133.84,172.16.139.250,265,0
172.16.133.132,216.185.152.111,446,0.091757
98.139.134.187,172.16.133.132,1345,0
172.16.133.254,172.16.128.233,1410,0
172.16.133.49,172.16.139.250,265,0
172.16.133.132,76.13.6.174,445,0
216.185.152.111,172.16.133.132,777,0.08640999999999999
172.16.133.95,172.16.139.250,265,0
76.13.6.174,172.16.133.132,1002,0
172.16.133.92,172.16.139.250,265,0
172.16.133.132,98.139.161.29,443,0
172.16.133.29,172.16.139.250,265,0
172.16.133.44,172.16.139.250,265,0
172.16.133.132,98.138.19.88,461,0
98.139.161.29,172.16.133.132,507,0
172.16.133.36,208.85.40.50,866,0
172.16.133.132,98.139.240.23,782,0
172.16.133.83,172.16.139.250,265,0
172.16.133.207,172.16.139.250,265,0
172.16.133.93,172.16.139.250,265,0
172.16.133.11,172.16.139.250,265,0
98.139.240.23,172.16.133.132,60,0
172.16.133.55,172.16.139.250,265,0
98.138.19.88,172.16.133.132,66,0.344661
172.16.133.73,172.16.139.250,265,0
172.16.133.53,172.16.139.250,265,0
172.16.133.21,172.16.139.250,265,0
172.16.133.30,172.16.139.250,265,0
172.16.133.36,208.85.40.20,866,0
172.16.133.34,172.16.139.250,265,0
172.16.133.25,172.16.139.250,265,0
172.16.128.169,172.16.133.128,206,0
172.16.128.169,172.16.133.92,206,0
172.16.128.169,172.16.133.33,206,0
172.16.133.97,172.16.139.250,265,0
172.16.128.169,172.16.133.93,206,0
172.16.128.169,172.16.133.11,206,0
172.16.128.169,172.16.133.83,206,0
172.16.128.169,172.16.133.68,206,0
172.16.128.169,172.16.133.235,206,0
172.16.128.169,172.16.133.20,206,0
172.16.128.169,172.16.133.28,206,0
172.16.128.169,172.16.133.72,206,0
172.16.128.169,172.16.133.34,206,0
172.16.133.132,216.185.152.111,450,0.27895099999999995
172.16.128.169,172.16.133.95,206,0
172.16.128.169,172.16.133.60,206,0
172.16.128.169,172.16.133.49,206,0
172.16.128.169,172.16.133.43,206,0
172.16.128.169,172.16.133.37,206,0
172.16.128.169,172.16.133.76,206,0
172.16.128.169,172.16.133.53,206,0
172.16.128.169,172.16.133.25,206,0
172.16.128.169,172.16.133.46,206,0
172.16.128.169,172.16.133.88,206,0
172.16.128.169,172.16.133.103,206,0
172.16.128.169,172.16.133.12,206,0
172.16.128.169,172.16.133.75,206,0
172.16.128.169,172.16.133.66,206,0
172.16.128.169,172.16.133.87,206,0
172.16.133.68,205.203.132.1,60,0
172.16.133.132,98.139.134.187,472,0.37021299999999996
208.85.40.20,172.16.133.36,411,0
172.16.133.33,172.16.139.250,265,0
172.16.133.254,172.16.128.233,1342,0.32013099999999994
216.185.152.111,172.16.133.132,630,0.2945900000000001
172.16.133.132,216.185.152.111,446,0.09822900000000001
172.16.133.68,172.16.139.250,265,0
172.16.133.12,172.16.139.250,265,0
98.139.134.187,172.16.133.132,1345,0.36885599999999996
172.16.133.63,172.16.139.250,265,0
172.16.133.66,172.16.139.250,265,0
172.16.133.82,172.16.139.250,265,0
216.185.152.111,172.16.133.132,777,0.07898799999999995
172.16.133.37,172.16.139.250,265,0
172.16.133.132,76.13.6.174,445,0.420298
76.13.6.174,172.16.133.132,1002,0.43257400000000007
