source_ip,dest_ip,packet_size,time_diff
192.168.3.131,72.14.213.138,997,0
72.14.213.138,192.168.3.131,440,0
192.168.3.131,72.14.213.102,998,0
72.14.213.102,192.168.3.131,541,0
192.168.3.131,65.55.206.209,515,0
192.168.3.131,72.14.213.138,999,0.781122
65.55.206.209,192.168.3.131,350,0
72.14.213.138,192.168.3.131,523,0.786048
192.168.3.131,65.55.17.37,653,0
65.55.17.37,192.168.3.131,1455,0
192.168.3.131,207.46.148.38,502,0
207.46.148.38,192.168.3.131,333,0
192.168.3.131,66.235.139.121,1107,0
192.168.3.131,65.55.5.232,701,0
65.55.5.232,192.168.3.131,1066,0
66.235.139.121,192.168.3.131,734,0
192.168.3.131,65.55.239.163,632,0
192.168.3.131,65.55.5.231,703,0
65.55.5.231,192.168.3.131,1066,0
192.168.3.131,206.108.207.139,565,0
206.108.207.139,192.168.3.131,576,0
192.168.3.131,184.24.133.32,758,0
65.55.239.163,192.168.3.131,465,0
184.24.133.32,192.168.3.131,576,0
192.168.3.131,65.55.5.232,703,0.2367030000000001
65.55.5.232,192.168.3.131,1360,0.23765100000000006
192.168.3.131,65.54.95.140,451,0
65.54.95.140,192.168.3.131,373,0
192.168.3.131,63.215.202.48,569,0
63.215.202.48,192.168.3.131,678,0
192.168.3.131,72.14.213.138,1005,0.933018
72.14.213.138,192.168.3.131,533,0.9321750000000001
192.168.3.131,63.215.202.49,694,0
63.215.202.49,192.168.3.131,1336,0
192.168.3.131,65.55.5.232,701,0.6571879999999999
65.55.5.232,192.168.3.131,931,0.6559979999999999
192.168.3.131,72.14.213.101,333,0
192.168.3.131,65.55.17.37,640,1.688278
72.14.213.101,192.168.3.131,356,0
192.168.3.131,72.14.213.147,1134,0
192.168.3.131,65.55.17.37,606,0.018555999999999795
65.55.17.37,192.168.3.131,797,1.63354
65.55.17.37,192.168.3.131,909,0.018782999999999994
192.168.3.131,65.55.17.37,706,0.033832000000000306
65.55.17.37,192.168.3.131,480,0.03291200000000005
192.168.3.131,65.54.95.140,452,1.2622820000000001
192.168.3.131,66.235.139.121,1202,1.5997379999999999
192.168.3.131,65.55.17.37,717,0.033240999999999854
65.54.95.140,192.168.3.131,1125,1.249018
192.168.3.131,207.46.216.54,584,0
192.168.3.131,65.54.95.142,442,0
65.55.17.37,192.168.3.131,480,0.03621799999999986
207.46.216.54,192.168.3.131,264,0
66.235.139.121,192.168.3.131,631,1.599242
72.14.213.147,192.168.3.131,1401,0
65.54.95.142,192.168.3.131,1138,0
192.168.3.131,72.14.213.147,1266,0.24984200000000012
72.14.213.147,192.168.3.131,269,0.184129
192.168.3.131,72.14.213.147,1157,1.2101360000000003
72.14.213.147,192.168.3.131,323,1.171847
192.168.3.131,65.54.95.140,452,1.5179989999999997
65.54.95.140,192.168.3.131,1023,1.5223890000000004
192.168.3.131,208.82.236.129,607,0
208.82.236.129,192.168.3.131,270,0
192.168.3.131,208.82.236.129,660,0.12648700000000002
208.82.236.129,192.168.3.131,862,0.17342000000000013
192.168.3.131,208.82.236.129,618,3.0957529999999993
208.82.236.129,192.168.3.131,798,3.0922020000000003
192.168.3.131,207.46.216.54,609,11.149984
192.168.3.131,66.235.139.121,1342,11.163443000000001
207.46.216.54,192.168.3.131,264,11.150288
66.235.139.121,192.168.3.131,631,11.163471999999999
192.168.3.131,72.14.213.147,1131,15.890225999999998
72.14.213.147,192.168.3.131,1398,15.978159
192.168.3.131,72.14.213.147,1263,0.30195499999999953
72.14.213.147,192.168.3.131,269,0.25020100000000056
192.168.3.131,72.14.213.147,1156,0.844068
72.14.213.147,192.168.3.131,323,0.8034739999999978
192.168.3.131,208.82.236.129,606,13.801442
208.82.236.129,192.168.3.131,272,13.745857
192.168.3.131,208.82.236.129,609,0.11448100000000139
208.82.236.129,192.168.3.131,989,0.16843499999999878
192.168.3.131,65.54.95.140,451,17.426462
192.168.3.131,208.82.236.129,449,0.2888710000000003
65.54.95.140,192.168.3.131,1419,17.454608999999998
208.82.236.129,192.168.3.131,60,0.2334789999999991
192.168.3.131,208.82.236.129,574,1.897874999999999
208.82.236.129,192.168.3.131,1231,1.954074000000002
