source_ip,destination_ip,packet_size,time_diff
131.202.240.242,38.124.168.125,266,0.0
38.124.168.125,131.202.240.242,1219,0.0
131.202.240.242,38.124.168.125,273,2.1704940795898438
38.124.168.125,131.202.240.242,1006,2.170905113220215
131.202.240.242,38.124.168.125,294,0.18948101997375488
38.124.168.125,131.202.240.242,575,0.18872690200805664
131.202.240.242,38.124.168.125,274,0.16228890419006348
38.124.168.125,131.202.240.242,865,0.16521000862121582
131.202.240.242,38.124.168.125,295,0.14726901054382324
38.124.168.125,131.202.240.242,575,0.14424610137939453
131.202.240.242,38.124.168.125,275,0.31860995292663574
38.124.168.125,131.202.240.242,157,0.319058895111084
131.202.240.242,38.124.168.125,296,0.28943800926208496
38.124.168.125,131.202.240.242,575,0.29401302337646484
131.202.240.242,38.124.168.125,275,0.8330259323120117
38.124.168.125,131.202.240.242,167,0.8288779258728027
131.202.240.242,38.124.168.125,296,0.18642306327819824
38.124.168.125,131.202.240.242,575,0.18851709365844727
131.202.240.242,38.124.168.125,279,0.38318800926208496
38.124.168.125,131.202.240.242,686,0.3803720474243164
131.202.240.242,38.124.168.125,300,0.2088620662689209
38.124.168.125,131.202.240.242,575,0.20896482467651367
131.202.240.242,38.124.168.125,277,0.9153950214385986
38.124.168.125,131.202.240.242,941,0.9153990745544434
131.202.240.242,38.124.168.125,277,0.1877880096435547
38.124.168.125,131.202.240.242,332,0.18803000450134277
131.202.240.242,38.124.168.125,277,0.1388390064239502
38.124.168.125,131.202.240.242,238,0.1394801139831543
131.202.240.242,38.124.168.125,279,0.13599395751953125
38.124.168.125,131.202.240.242,593,0.13531780242919922
131.202.240.242,38.124.168.125,279,0.21872186660766602
38.124.168.125,131.202.240.242,631,0.21885418891906738
131.202.240.242,38.124.168.125,279,0.13762402534484863
38.124.168.125,131.202.240.242,802,0.13793182373046875
131.202.240.242,209.148.205.8,1292,0.0
209.148.205.8,131.202.240.242,378,0.0
131.202.240.242,209.148.205.8,977,61.19155216217041
131.202.240.242,209.148.205.8,1300,0.06766200065612793
209.148.205.8,131.202.240.242,591,61.18181395530701
209.148.205.8,131.202.240.242,378,0.13909006118774414
