source_ip,destination_ip,packet_size,time_diff
131.202.240.87,4.28.136.42,266,0.0
4.28.136.42,131.202.240.87,1327,0.0
131.202.240.87,4.28.136.42,273,5.212656021118164
4.28.136.42,131.202.240.87,935,5.211630821228027
131.202.240.87,4.28.136.42,294,0.15714693069458008
4.28.136.42,131.202.240.87,575,0.1575770378112793
131.202.240.87,4.28.136.42,273,1.194654941558838
4.28.136.42,131.202.240.87,1016,1.1948599815368652
131.202.240.87,4.28.136.42,294,0.42279911041259766
4.28.136.42,131.202.240.87,575,0.42026209831237793
131.202.240.87,4.28.136.42,275,0.7834439277648926
4.28.136.42,131.202.240.87,1313,0.7828750610351562
131.202.240.87,4.28.136.42,296,0.17175698280334473
4.28.136.42,131.202.240.87,575,0.171644926071167
131.202.240.87,4.28.136.42,277,2.276618003845215
4.28.136.42,131.202.240.87,1007,2.2791929244995117
131.202.240.87,4.28.136.42,277,0.08958697319030762
4.28.136.42,131.202.240.87,891,0.08859014511108398
131.202.240.87,4.28.136.42,277,0.09391999244689941
4.28.136.42,131.202.240.87,389,0.10141491889953613
131.202.240.87,4.28.136.42,277,0.0790550708770752
4.28.136.42,131.202.240.87,1375,0.0713191032409668
131.202.240.87,4.28.136.42,277,0.07058596611022949
4.28.136.42,131.202.240.87,900,0.07271194458007812
131.202.240.87,4.28.136.42,275,0.04978013038635254
4.28.136.42,131.202.240.87,476,0.051177978515625
131.202.240.87,4.28.136.42,279,0.11698198318481445
4.28.136.42,131.202.240.87,591,0.11791396141052246
131.202.240.87,4.28.136.42,279,0.06254291534423828
4.28.136.42,131.202.240.87,653,0.0627901554107666
131.202.240.87,4.28.136.42,279,0.07133007049560547
4.28.136.42,131.202.240.87,1189,0.0671539306640625
