source_ip,destination_ip,packet_size,time_diff
10.0.2.15,209.148.205.8,255,0.0
209.148.205.8,10.0.2.15,1402,0.0
10.0.2.15,209.148.205.33,188,0.0
10.0.2.15,209.148.205.33,235,8.320808410644531e-05
10.0.2.15,209.148.205.33,212,9.489059448242188e-05
209.148.205.33,10.0.2.15,349,0.0
10.0.2.15,209.148.205.33,203,0.02427196502685547
209.148.205.33,10.0.2.15,125,0.0007410049438476562
209.148.205.33,10.0.2.15,333,0.0009450912475585938
209.148.205.33,10.0.2.15,235,0.025881052017211914
10.0.2.15,23.195.194.188,282,0.0
23.195.194.188,10.0.2.15,82,0.0
10.0.2.15,209.148.205.33,219,48.390334129333496
10.0.2.15,209.148.205.33,219,0.051019906997680664
10.0.2.15,209.148.205.33,241,0.04771995544433594
209.148.205.33,10.0.2.15,591,48.488900899887085
10.0.2.15,207.46.7.252,1500,0.0
207.46.7.252,10.0.2.15,232,0.0
10.0.2.15,93.184.215.200,316,0.0
93.184.215.200,10.0.2.15,449,0.0
10.0.2.15,209.148.205.32,219,0.0
10.0.2.15,209.148.205.32,219,0.05283498764038086
10.0.2.15,209.148.205.32,241,0.05231213569641113
209.148.205.32,10.0.2.15,592,0.0
10.0.2.15,209.148.205.33,235,2528.9021010398865
10.0.2.15,209.148.205.33,242,0.010596990585327148
10.0.2.15,209.148.205.9,212,0.0
10.0.2.15,209.148.205.9,203,0.0017719268798828125
209.148.205.33,10.0.2.15,334,2528.9001529216766
209.148.205.33,10.0.2.15,1245,0.010752201080322266
209.148.205.9,10.0.2.15,235,0.0
209.148.205.9,10.0.2.15,126,4.0531158447265625e-06
10.0.2.15,209.148.205.9,188,0.025866985321044922
209.148.205.9,10.0.2.15,269,0.024690866470336914
10.0.2.15,23.194.223.54,281,0.0
23.194.223.54,10.0.2.15,348,0.0
10.0.2.15,209.148.205.9,203,122.54321718215942
10.0.2.15,209.148.205.9,188,0.0001919269561767578
10.0.2.15,209.148.205.33,235,122.57760310173035
209.148.205.9,10.0.2.15,234,122.54269099235535
209.148.205.9,10.0.2.15,351,0.0010361671447753906
209.148.205.33,10.0.2.15,333,122.57697677612305
10.0.2.15,209.148.205.32,219,1799.93710398674
10.0.2.15,209.148.205.32,219,0.05077505111694336
10.0.2.15,209.148.205.32,241,0.04966902732849121
209.148.205.32,10.0.2.15,583,1800.0369420051575
10.0.2.15,93.184.215.200,341,4609.972934961319
93.184.215.200,10.0.2.15,448,4609.973249912262
10.0.2.15,209.148.205.33,235,2607.047513961792
10.0.2.15,209.148.205.33,212,0.018735885620117188
10.0.2.15,209.148.205.33,242,0.00015115737915039062
10.0.2.15,209.148.205.33,203,0.000209808349609375
209.148.205.33,10.0.2.15,332,2607.0463531017303
209.148.205.33,10.0.2.15,125,0.019021987915039062
10.0.2.15,209.148.205.33,188,0.023828983306884766
209.148.205.33,10.0.2.15,1245,0.0006561279296875
209.148.205.33,10.0.2.15,152,0.0012238025665283203
10.0.2.15,23.194.223.54,281,2729.5638930797577
209.148.205.33,10.0.2.15,351,0.026173114776611328
23.194.223.54,10.0.2.15,348,2729.5548751354218
10.0.2.15,209.148.205.33,212,92.90771508216858
209.148.205.33,10.0.2.15,126,92.90491390228271
