source_ip,destination_ip,packet_size,time_diff
131.202.240.87,4.28.136.36,266,0.0
4.28.136.36,131.202.240.87,62,0.0
131.202.240.87,4.28.136.36,273,3.2083590030670166
4.28.136.36,131.202.240.87,935,3.216752052307129
131.202.240.87,4.28.136.36,294,0.1229548454284668
4.28.136.36,131.202.240.87,575,0.11505794525146484
131.202.240.87,4.28.136.36,275,1.7424499988555908
4.28.136.36,131.202.240.87,1313,1.7421631813049316
131.202.240.87,4.28.136.36,296,0.12669706344604492
4.28.136.36,131.202.240.87,575,0.12578392028808594
131.202.240.87,4.28.136.36,277,1.494386911392212
4.28.136.36,131.202.240.87,1065,1.4950809478759766
131.202.240.87,4.28.136.36,277,0.058091163635253906
4.28.136.36,131.202.240.87,1303,0.10166096687316895
131.202.240.87,4.28.136.36,277,0.12085294723510742
4.28.136.36,131.202.240.87,1158,0.1008000373840332
131.202.240.87,4.28.136.36,277,0.10048198699951172
4.28.136.36,131.202.240.87,1233,0.08013701438903809
131.202.240.87,4.28.136.36,277,0.08140397071838379
4.28.136.36,131.202.240.87,782,0.08120894432067871
131.202.240.87,4.28.136.36,279,0.048562049865722656
4.28.136.36,131.202.240.87,586,0.05109906196594238
131.202.240.87,4.28.136.36,279,0.15264511108398438
4.28.136.36,131.202.240.87,580,0.1463470458984375
131.202.240.87,4.28.136.36,279,0.05491995811462402
4.28.136.36,131.202.240.87,948,0.058281898498535156
