source_ip,destination_ip,packet_size,time_diff
10.0.2.15,209.148.205.9,212,0.0
209.148.205.9,10.0.2.15,125,0.0
10.0.2.15,93.184.215.200,316,0.0
93.184.215.200,10.0.2.15,449,0.0
10.0.2.15,209.148.205.9,235,3658.685451030731
10.0.2.15,209.148.205.9,242,3.695487976074219e-05
10.0.2.15,209.148.205.9,212,0.0002510547637939453
10.0.2.15,209.148.205.9,203,0.0031440258026123047
209.148.205.9,10.0.2.15,250,3658.6861159801483
209.148.205.9,10.0.2.15,126,0.0009791851043701172
209.148.205.9,10.0.2.15,1244,1.9073486328125e-06
10.0.2.15,209.148.205.9,188,0.02362799644470215
209.148.205.9,10.0.2.15,225,0.0019490718841552734
10.0.2.15,209.148.205.9,212,0.0021080970764160156
209.148.205.9,10.0.2.15,351,0.024241924285888672
10.0.2.15,23.194.223.54,281,0.0
209.148.205.9,10.0.2.15,126,0.0022161006927490234
23.194.223.54,10.0.2.15,348,0.0
10.0.2.15,93.184.215.200,341,3649.9143240451813
93.184.215.200,10.0.2.15,448,3649.915442943573
10.0.2.15,209.148.205.9,188,1017.3500030040741
10.0.2.15,209.148.205.9,203,9.5367431640625e-07
10.0.2.15,209.148.205.9,235,0.001374959945678711
10.0.2.15,23.194.223.54,281,1017.3406789302826
209.148.205.9,10.0.2.15,351,1017.3495638370514
209.148.205.9,10.0.2.15,228,3.0994415283203125e-06
209.148.205.9,10.0.2.15,332,0.0009279251098632812
23.194.223.54,10.0.2.15,348,1017.3413248062134
