source_ip,destination_ip,packet_size,time_diff
131.202.240.87,38.124.168.119,266,0.0
38.124.168.119,131.202.240.87,1215,0.0
131.202.240.87,38.124.168.119,273,2.611815929412842
38.124.168.119,131.202.240.87,1006,2.611370086669922
131.202.240.87,38.124.168.119,294,0.1708672046661377
38.124.168.119,131.202.240.87,575,0.17108988761901855
131.202.240.87,38.124.168.119,274,0.17374777793884277
38.124.168.119,131.202.240.87,865,0.17629289627075195
131.202.240.87,38.124.168.119,295,0.14657807350158691
38.124.168.119,131.202.240.87,575,0.1485910415649414
131.202.240.87,38.124.168.119,275,0.3615889549255371
38.124.168.119,131.202.240.87,157,0.3570990562438965
131.202.240.87,38.124.168.119,296,0.44728899002075195
38.124.168.119,131.202.240.87,575,0.4474639892578125
131.202.240.87,38.124.168.119,275,0.9341280460357666
38.124.168.119,131.202.240.87,167,0.9346449375152588
131.202.240.87,38.124.168.119,296,0.2013700008392334
38.124.168.119,131.202.240.87,575,0.2003631591796875
131.202.240.87,38.124.168.119,279,0.37131309509277344
38.124.168.119,131.202.240.87,686,0.3714628219604492
131.202.240.87,38.124.168.119,300,0.197767972946167
38.124.168.119,131.202.240.87,575,0.1988680362701416
131.202.240.87,38.124.168.119,277,1.0178759098052979
38.124.168.119,131.202.240.87,479,1.016545057296753
131.202.240.87,38.124.168.119,277,0.19968199729919434
38.124.168.119,131.202.240.87,350,0.2002120018005371
131.202.240.87,38.124.168.119,277,0.17796611785888672
38.124.168.119,131.202.240.87,332,0.17825889587402344
131.202.240.87,38.124.168.119,277,0.1257009506225586
38.124.168.119,131.202.240.87,340,0.12677717208862305
131.202.240.87,38.124.168.119,279,0.1402420997619629
38.124.168.119,131.202.240.87,597,0.13830304145812988
131.202.240.87,38.124.168.119,279,0.21784400939941406
38.124.168.119,131.202.240.87,679,0.21821379661560059
131.202.240.87,38.124.168.119,279,0.24457788467407227
38.124.168.119,131.202.240.87,853,0.24529600143432617
131.202.240.87,38.124.168.119,279,0.1271219253540039
38.124.168.119,131.202.240.87,1333,0.12705111503601074
