source_ip,destination_ip,packet_size,time_diff
10.0.1.4,172.217.160.99,1576,0.0
172.217.160.99,10.0.1.4,226,0.0
10.0.1.4,163.28.5.10,165,0.0
163.28.5.10,10.0.1.4,241,0.0
10.0.1.4,163.28.5.25,165,0.0
163.28.5.25,10.0.1.4,241,0.0
10.0.1.4,175.99.198.208,340,0.0
175.99.198.208,10.0.1.4,386,0.0
10.0.1.4,152.195.38.76,310,0.0
152.195.38.76,10.0.1.4,340,0.0
10.0.1.4,23.193.25.175,455,0.0
23.193.25.175,10.0.1.4,413,0.0
10.0.1.4,23.193.26.95,281,0.0
23.193.26.95,10.0.1.4,317,0.0
10.0.1.4,175.99.198.208,336,4.336712121963501
175.99.198.208,10.0.1.4,387,4.346530914306641
10.0.1.4,175.99.198.208,340,0.12436985969543457
175.99.198.208,10.0.1.4,385,0.11492800712585449
