source_ip,destination_ip,packet_size,time_diff
131.202.240.86,68.67.152.174,858,0.0
68.67.152.174,131.202.240.86,850,0.0
131.202.240.86,68.67.152.196,111,0.0
68.67.152.196,131.202.240.86,815,0.0
131.202.240.86,38.74.193.132,739,0.0
38.74.193.132,131.202.240.86,1232,0.0
131.202.240.86,173.194.123.124,902,0.0
131.202.240.86,205.204.71.140,377,0.0
131.202.240.86,205.204.71.140,375,0.0009741783142089844
205.204.71.140,131.202.240.86,656,0.0
205.204.71.140,131.202.240.86,494,0.0004799365997314453
173.194.123.124,131.202.240.86,923,0.0
131.202.240.86,199.233.57.14,334,0.0
199.233.57.14,131.202.240.86,469,0.0
131.202.240.86,199.233.57.14,360,0.05190300941467285
199.233.57.14,131.202.240.86,931,0.06379318237304688
131.202.240.86,184.26.44.96,296,0.0
184.26.44.96,131.202.240.86,833,0.0
131.202.240.86,23.239.11.188,465,0.0
23.239.11.188,131.202.240.86,844,0.0
131.202.240.86,23.239.11.188,491,0.04791116714477539
23.239.11.188,131.202.240.86,1371,0.048645973205566406
131.202.240.86,209.148.205.19,409,0.0
209.148.205.19,131.202.240.86,674,0.0
131.202.240.86,50.7.70.210,525,0.0
50.7.70.210,131.202.240.86,222,0.0
131.202.240.86,209.148.205.26,774,0.0
209.148.205.26,131.202.240.86,283,0.0
131.202.240.86,184.26.44.96,296,5.0047008991241455
184.26.44.96,131.202.240.86,833,5.003148078918457
131.202.240.86,184.26.44.96,296,0.04282689094543457
184.26.44.96,131.202.240.86,833,0.05815887451171875
131.202.240.86,178.255.83.1,286,0.0
178.255.83.1,131.202.240.86,929,0.0
131.202.240.86,178.255.83.1,287,4.7178239822387695
178.255.83.1,131.202.240.86,1185,4.719122886657715
131.202.240.86,178.255.83.1,287,4.652009010314941
178.255.83.1,131.202.240.86,929,4.648998975753784
131.202.240.86,54.230.53.92,354,0.0
54.230.53.92,131.202.240.86,582,0.0
131.202.240.86,72.21.91.29,291,0.0
72.21.91.29,131.202.240.86,842,0.0
131.202.240.86,72.21.91.29,287,5.21113920211792
72.21.91.29,131.202.240.86,842,5.21574592590332
131.202.240.86,209.148.205.19,331,27.663979053497314
209.148.205.19,131.202.240.86,281,27.640499114990234
131.202.240.86,72.21.91.29,291,4.858240842819214
72.21.91.29,131.202.240.86,842,4.8526530265808105
131.202.240.86,209.148.205.19,319,4.548362970352173
209.148.205.19,131.202.240.86,280,4.548050880432129
131.202.240.86,173.194.123.124,720,54.141775131225586
173.194.123.124,131.202.240.86,1140,54.14447999000549
131.202.240.86,173.194.123.103,280,0.0
173.194.123.103,131.202.240.86,848,0.0
131.202.240.86,68.67.152.174,490,360.9197189807892
68.67.152.174,131.202.240.86,1114,360.91782903671265
131.202.240.86,68.67.152.196,586,360.94179105758667
68.67.152.196,131.202.240.86,852,360.553701877594
131.202.240.86,68.67.152.196,1083,0.05657505989074707
68.67.152.196,131.202.240.86,130,0.4519779682159424
131.202.240.86,50.7.70.210,530,354.96454310417175
50.7.70.210,131.202.240.86,297,354.9730260372162
131.202.240.86,69.172.216.55,448,0.0
69.172.216.55,131.202.240.86,1397,0.0
131.202.240.86,209.148.205.26,554,355.45704102516174
131.202.240.86,69.172.216.55,1282,0.3972818851470947
209.148.205.26,131.202.240.86,283,355.46251487731934
69.172.216.55,131.202.240.86,303,0.2276301383972168
131.202.240.86,69.172.216.111,752,0.0
69.172.216.111,131.202.240.86,270,0.0
131.202.240.86,69.172.216.58,297,0.0
69.172.216.58,131.202.240.86,480,0.0
131.202.240.86,69.172.216.111,859,0.5741310119628906
131.202.240.86,23.50.75.27,288,0.0
131.202.240.86,23.50.75.27,284,0.028100967407226562
23.50.75.27,131.202.240.86,788,0.0
23.50.75.27,131.202.240.86,405,0.033483028411865234
131.202.240.86,69.172.216.111,1019,6.253684043884277
69.172.216.111,131.202.240.86,270,6.827093124389648
131.202.240.86,69.172.216.111,1027,4.02037501335144
69.172.216.111,131.202.240.86,270,4.0241148471832275
131.202.240.86,69.172.216.111,1032,9.956070899963379
69.172.216.111,131.202.240.86,270,9.95388412475586
131.202.240.86,68.67.152.174,488,277.2825469970703
68.67.152.174,131.202.240.86,1112,277.2806239128113
131.202.240.86,68.67.152.196,584,277.1417899131775
68.67.152.196,131.202.240.86,850,276.7724561691284
131.202.240.86,68.67.152.196,1136,0.08275198936462402
68.67.152.196,131.202.240.86,935,0.4442169666290283
131.202.240.86,209.148.205.26,583,276.325541973114
131.202.240.86,50.7.70.210,536,276.8975899219513
209.148.205.26,131.202.240.86,269,276.3200981616974
50.7.70.210,131.202.240.86,222,276.89276099205017
131.202.240.86,205.204.71.144,410,0.0
131.202.240.86,209.148.205.26,554,0.2487049102783203
209.148.205.26,131.202.240.86,283,0.24865984916687012
131.202.240.86,68.67.152.196,438,0.7285671234130859
205.204.71.144,131.202.240.86,689,0.0
68.67.152.196,131.202.240.86,837,0.35382986068725586
