source_ip,destination_ip,packet_size,time_diff
131.202.240.242,68.67.152.94,1290,0.0
68.67.152.94,131.202.240.242,882,0.0
131.202.240.242,68.67.153.2,1895,0.0
68.67.153.2,131.202.240.242,1169,0.0
131.202.240.242,50.7.70.210,612,0.0
131.202.240.242,209.148.205.26,1138,0.0
50.7.70.210,131.202.240.242,296,0.0
209.148.205.26,131.202.240.242,727,0.0
131.202.240.242,68.67.153.2,1100,0.35121893882751465
68.67.153.2,131.202.240.242,754,0.27248287200927734
131.202.240.242,205.204.71.144,425,0.0
205.204.71.144,131.202.240.242,735,0.0
131.202.240.242,68.67.152.234,1905,0.0
68.67.152.234,131.202.240.242,701,0.0
131.202.240.242,68.67.152.234,1906,0.9359469413757324
68.67.152.234,131.202.240.242,701,0.9355349540710449
131.202.240.242,68.67.152.120,1301,0.0
68.67.152.120,131.202.240.242,883,0.0
131.202.240.242,68.67.153.211,1906,0.0
68.67.153.211,131.202.240.242,1169,0.0
131.202.240.242,50.7.70.210,612,301.7334818840027
50.7.70.210,131.202.240.242,296,301.7307209968567
131.202.240.242,68.67.153.211,1100,0.5073020458221436
68.67.153.211,131.202.240.242,754,0.21830201148986816
131.202.240.242,205.204.71.148,507,0.0
205.204.71.148,131.202.240.242,690,0.0
131.202.240.242,68.67.176.26,1905,0.0
68.67.176.26,131.202.240.242,701,0.0
131.202.240.242,68.67.176.26,1906,0.9062480926513672
68.67.176.26,131.202.240.242,701,0.9090321063995361
131.202.240.242,72.21.91.29,393,0.0
72.21.91.29,131.202.240.242,842,0.0
131.202.240.242,23.50.75.27,367,0.0
23.50.75.27,131.202.240.242,422,0.0
131.202.240.242,23.50.75.27,374,0.213731050491333
23.50.75.27,131.202.240.242,456,0.21338176727294922
131.202.240.242,74.125.226.36,384,0.0
74.125.226.36,131.202.240.242,845,0.0
