source_ip,destination_ip,packet_size,time_diff
131.202.240.87,68.67.153.89,1097,0.0
68.67.153.89,131.202.240.87,884,0.0
131.202.240.87,68.67.153.146,336,0.0
68.67.153.146,131.202.240.87,72,0.0
131.202.240.87,173.194.123.28,805,0.0
173.194.123.28,131.202.240.87,604,0.0
131.202.240.87,216.58.219.198,447,0.0
216.58.219.198,131.202.240.87,1193,0.0
131.202.240.87,173.194.123.7,382,0.0
173.194.123.7,131.202.240.87,845,0.0
131.202.240.87,23.50.75.27,388,0.0
23.50.75.27,131.202.240.87,821,0.0
131.202.240.87,72.247.10.19,402,0.0
72.247.10.19,131.202.240.87,838,0.0
131.202.240.87,23.50.75.27,386,0.21022295951843262
23.50.75.27,131.202.240.87,668,0.21014404296875
131.202.240.87,50.7.70.210,614,0.0
50.7.70.210,131.202.240.87,298,0.0
131.202.240.87,23.50.75.27,386,0.42616820335388184
131.202.240.87,68.67.160.42,429,0.0
23.50.75.27,131.202.240.87,668,0.4293229579925537
68.67.160.42,131.202.240.87,701,0.0
131.202.240.87,72.167.239.239,375,0.0
72.167.239.239,131.202.240.87,807,0.0
131.202.240.87,72.167.239.239,371,0.1300969123840332
72.167.239.239,131.202.240.87,840,0.12917280197143555
131.202.240.87,72.167.239.239,379,0.127730131149292
131.202.240.87,68.67.160.42,434,0.9000949859619141
72.167.239.239,131.202.240.87,885,0.12652015686035156
68.67.160.42,131.202.240.87,701,0.900892972946167
131.202.240.87,68.67.153.40,1092,0.0
68.67.153.40,131.202.240.87,884,0.0
131.202.240.87,68.67.152.189,331,0.0
68.67.152.189,131.202.240.87,972,0.0
131.202.240.87,50.7.70.210,615,301.92745089530945
50.7.70.210,131.202.240.87,222,301.92809295654297
131.202.240.87,68.67.152.189,890,0.3356359004974365
68.67.152.189,131.202.240.87,754,0.2548680305480957
131.202.240.87,205.204.71.148,507,0.0
205.204.71.148,131.202.240.87,690,0.0
131.202.240.87,68.67.153.28,353,0.0
68.67.153.28,131.202.240.87,701,0.0
131.202.240.87,68.67.153.28,358,0.9264519214630127
68.67.153.28,131.202.240.87,701,0.9263918399810791
131.202.240.87,68.67.152.173,1092,0.0
68.67.152.173,131.202.240.87,884,0.0
131.202.240.87,68.67.153.41,331,0.0
68.67.153.41,131.202.240.87,929,0.0
131.202.240.87,50.7.70.210,614,245.86138200759888
131.202.240.87,209.148.205.27,928,0.0
209.148.205.27,131.202.240.87,1135,0.0
50.7.70.210,131.202.240.87,222,245.86755299568176
131.202.240.87,68.67.153.41,890,0.40926098823547363
68.67.153.41,131.202.240.87,754,0.33751893043518066
131.202.240.87,68.67.152.233,393,0.0
68.67.152.233,131.202.240.87,701,0.0
131.202.240.87,68.67.152.233,398,1.917585849761963
68.67.152.233,131.202.240.87,701,1.9214701652526855
131.202.240.87,38.117.98.253,343,0.0
38.117.98.253,131.202.240.87,75,0.0
131.202.240.87,38.117.98.253,350,7.141852140426636
38.117.98.253,131.202.240.87,1057,7.147053956985474
131.202.240.87,38.117.98.253,371,0.19746899604797363
38.117.98.253,131.202.240.87,551,0.1917409896850586
131.202.240.87,38.117.98.253,352,2.054286003112793
38.117.98.253,131.202.240.87,188,2.0543150901794434
131.202.240.87,38.117.98.253,373,0.22821807861328125
38.117.98.253,131.202.240.87,551,0.22951984405517578
131.202.240.87,38.117.98.253,354,1.2496109008789062
38.117.98.253,131.202.240.87,618,1.2482719421386719
131.202.240.87,38.117.98.253,354,0.11059188842773438
38.117.98.253,131.202.240.87,1003,0.11070823669433594
131.202.240.87,38.117.98.253,354,0.10264110565185547
38.117.98.253,131.202.240.87,750,0.10265183448791504
131.202.240.87,38.117.98.253,354,0.0822439193725586
38.117.98.253,131.202.240.87,236,0.08642697334289551
131.202.240.87,38.117.98.253,356,0.09152007102966309
38.117.98.253,131.202.240.87,721,0.08717608451843262
131.202.240.87,38.117.98.253,356,0.16775298118591309
38.117.98.253,131.202.240.87,692,0.17335200309753418
131.202.240.87,38.117.98.253,356,0.08809900283813477
38.117.98.253,131.202.240.87,927,0.08288288116455078
131.202.240.87,68.67.152.120,1093,0.0
68.67.152.120,131.202.240.87,885,0.0
131.202.240.87,68.67.152.96,332,0.0
68.67.152.96,131.202.240.87,1391,0.0
131.202.240.87,50.7.70.210,614,302.1629159450531
50.7.70.210,131.202.240.87,298,302.1496031284332
131.202.240.87,68.67.152.96,890,0.847100019454956
68.67.152.96,131.202.240.87,754,0.7390210628509521
131.202.240.87,68.67.153.41,385,302.7901089191437
68.67.153.41,131.202.240.87,701,302.790137052536
131.202.240.87,68.67.153.41,390,0.8625891208648682
68.67.153.41,131.202.240.87,701,0.8945629596710205
