source_ip,destination_ip,packet_size,time_diff
131.202.240.86,68.67.152.172,948,0.0
68.67.152.172,131.202.240.86,850,0.0
131.202.240.86,68.67.152.196,203,0.0
68.67.152.196,131.202.240.86,1245,0.0
131.202.240.86,209.148.205.26,893,0.0
209.148.205.26,131.202.240.86,269,0.0
131.202.240.86,50.7.70.210,536,0.0
50.7.70.210,131.202.240.86,222,0.0
131.202.240.86,209.148.205.26,864,0.09418392181396484
209.148.205.26,131.202.240.86,283,0.09342503547668457
131.202.240.86,68.67.152.196,748,0.4507789611816406
131.202.240.86,205.204.71.142,410,0.0
205.204.71.142,131.202.240.86,689,0.0
68.67.152.196,131.202.240.86,837,0.20965909957885742
131.202.240.86,68.67.152.172,983,141.31846404075623
68.67.152.172,131.202.240.86,850,141.3185830116272
131.202.240.86,68.67.152.196,238,140.87584900856018
68.67.152.196,131.202.240.86,1280,140.94144010543823
131.202.240.86,209.148.205.26,928,141.0591220855713
209.148.205.26,131.202.240.86,269,141.0591471195221
131.202.240.86,50.7.70.210,536,141.14776587486267
50.7.70.210,131.202.240.86,296,141.38343501091003
131.202.240.86,209.148.205.26,899,0.3346679210662842
209.148.205.26,131.202.240.86,283,0.33539295196533203
131.202.240.86,68.67.152.196,783,0.5186681747436523
131.202.240.86,205.204.71.142,410,141.39401006698608
68.67.152.196,131.202.240.86,837,0.4350259304046631
205.204.71.142,131.202.240.86,689,141.39990282058716
131.202.240.86,68.67.152.172,984,61.97962403297424
68.67.152.172,131.202.240.86,851,61.98239588737488
131.202.240.86,68.67.152.196,239,61.46591901779175
68.67.152.196,131.202.240.86,1280,61.57448101043701
131.202.240.86,209.148.205.26,928,61.68233108520508
209.148.205.26,131.202.240.86,269,61.68138885498047
131.202.240.86,50.7.70.210,536,62.026602029800415
50.7.70.210,131.202.240.86,222,61.78275203704834
131.202.240.86,209.148.205.26,899,0.09034395217895508
209.148.205.26,131.202.240.86,283,0.09088397026062012
131.202.240.86,68.67.152.196,783,0.3063468933105469
131.202.240.86,205.204.71.142,410,61.772549867630005
68.67.152.196,131.202.240.86,837,0.19884800910949707
205.204.71.142,131.202.240.86,689,61.76641607284546
131.202.240.86,68.67.152.172,983,91.21189188957214
68.67.152.172,131.202.240.86,850,91.2090711593628
131.202.240.86,68.67.152.196,238,90.8961250782013
68.67.152.196,131.202.240.86,1280,91.10904788970947
131.202.240.86,209.148.205.26,928,91.20593404769897
209.148.205.26,131.202.240.86,269,91.20549011230469
131.202.240.86,50.7.70.210,536,91.2937319278717
50.7.70.210,131.202.240.86,299,91.3078019618988
131.202.240.86,209.148.205.26,899,0.11628103256225586
209.148.205.26,131.202.240.86,283,0.12017607688903809
131.202.240.86,68.67.152.196,783,0.42956995964050293
131.202.240.86,205.204.71.142,410,91.32222414016724
205.204.71.142,131.202.240.86,689,91.32195997238159
68.67.152.196,131.202.240.86,837,0.21967196464538574
