source_ip,destination_ip,packet_size,time_diff
131.202.240.86,209.148.205.34,317,0.0
209.148.205.34,131.202.240.86,365,0.0
131.202.240.86,173.194.123.96,280,0.0
131.202.240.86,209.148.205.34,420,1.5735650062561035
173.194.123.96,131.202.240.86,848,0.0
209.148.205.34,131.202.240.86,1127,1.6044819355010986
131.202.240.86,209.148.205.34,317,1.4952929019927979
209.148.205.34,131.202.240.86,365,1.4623348712921143
131.202.240.86,209.148.205.34,514,4.751775026321411
209.148.205.34,131.202.240.86,1088,4.888776063919067
131.202.240.86,178.255.83.1,286,0.0
178.255.83.1,131.202.240.86,928,0.0
131.202.240.86,178.255.83.1,287,4.691179037094116
178.255.83.1,131.202.240.86,928,4.691187858581543
131.202.240.86,23.50.75.27,271,0.0
23.50.75.27,131.202.240.86,421,0.0
131.202.240.86,23.50.75.27,284,4.643422842025757
23.50.75.27,131.202.240.86,405,4.642580986022949
131.202.240.86,209.148.205.34,317,17.062175989151
209.148.205.34,131.202.240.86,364,16.92668104171753
131.202.240.86,209.148.205.34,430,3.755200147628784
209.148.205.34,131.202.240.86,694,3.7965290546417236
131.202.240.86,68.67.152.172,762,0.0
68.67.152.172,131.202.240.86,849,0.0
131.202.240.86,68.67.152.196,1367,0.0
68.67.152.196,131.202.240.86,1060,0.0
131.202.240.86,209.148.205.26,596,0.0
131.202.240.86,50.7.70.210,536,0.0
50.7.70.210,131.202.240.86,222,0.0
131.202.240.86,209.148.205.26,679,0.11488509178161621
209.148.205.26,131.202.240.86,283,0.0
131.202.240.86,68.67.152.196,563,0.6195971965789795
68.67.152.196,131.202.240.86,837,0.2330780029296875
131.202.240.86,38.71.4.136,328,0.0
209.148.205.26,131.202.240.86,491,0.09305310249328613
38.71.4.136,131.202.240.86,734,0.0
131.202.240.86,91.199.212.176,203,0.0
91.199.212.176,131.202.240.86,523,0.0
131.202.240.86,209.148.205.34,317,11.808911800384521
209.148.205.34,131.202.240.86,365,11.765105962753296
131.202.240.86,209.148.205.34,406,0.9655699729919434
209.148.205.34,131.202.240.86,1189,0.9919939041137695
131.202.240.86,209.148.205.34,317,1.399618148803711
209.148.205.34,131.202.240.86,365,1.374413013458252
131.202.240.86,209.148.205.34,662,0.8334300518035889
209.148.205.34,131.202.240.86,1367,0.861065149307251
131.202.240.86,209.148.205.34,424,0.08130502700805664
209.148.205.34,131.202.240.86,60,0.05850100517272949
131.202.240.86,178.255.83.2,197,0.0
178.255.83.2,131.202.240.86,205,0.0
131.202.240.86,209.148.205.34,317,3.2184319496154785
209.148.205.34,131.202.240.86,364,3.213702917098999
131.202.240.86,209.148.205.34,394,0.54311203956604
209.148.205.34,131.202.240.86,1098,0.5709218978881836
131.202.240.86,209.148.205.34,317,1.3766758441925049
209.148.205.34,131.202.240.86,366,1.3472449779510498
131.202.240.86,178.255.83.1,290,34.540520906448364
131.202.240.86,209.148.205.34,622,0.4739260673522949
209.148.205.34,131.202.240.86,60,0.4769601821899414
131.202.240.86,209.148.205.34,622,0.05733895301818848
209.148.205.34,131.202.240.86,60,0.05742192268371582
131.202.240.86,209.148.205.34,626,0.10678291320800781
209.148.205.34,131.202.240.86,60,0.10557794570922852
131.202.240.86,209.148.205.34,666,0.05508613586425781
131.202.240.86,209.148.205.34,398,0.431290864944458
209.148.205.34,131.202.240.86,1282,0.5140440464019775
131.202.240.86,68.67.152.172,490,18.137137174606323
68.67.152.172,131.202.240.86,1114,18.130336046218872
131.202.240.86,68.67.152.196,586,17.50899386405945
68.67.152.196,131.202.240.86,852,17.51179003715515
131.202.240.86,68.67.152.196,1083,0.12688112258911133
131.202.240.86,209.148.205.34,317,2.506178140640259
209.148.205.34,131.202.240.86,366,2.477847099304199
131.202.240.86,209.148.205.34,444,0.19307208061218262
209.148.205.34,131.202.240.86,97,0.2270488739013672
131.202.240.86,209.148.205.34,317,10.695055961608887
209.148.205.34,131.202.240.86,365,10.661772012710571
131.202.240.86,209.148.205.34,696,0.7680048942565918
209.148.205.34,131.202.240.86,60,1.7810969352722168
131.202.240.86,209.148.205.34,418,1.0723180770874023
209.148.205.34,131.202.240.86,144,0.2580890655517578
131.202.240.86,209.148.205.34,418,1.0259408950805664
209.148.205.34,131.202.240.86,697,1.1129300594329834
131.202.240.86,209.148.205.34,418,1.009310007095337
209.148.205.34,131.202.240.86,988,0.9995388984680176
131.202.240.86,209.148.205.34,418,1.0313889980316162
209.148.205.34,131.202.240.86,255,1.12107515335083
131.202.240.86,209.148.205.34,400,4.012482166290283
209.148.205.34,131.202.240.86,1199,3.7849478721618652
131.202.240.86,209.148.205.34,320,0.7916820049285889
209.148.205.34,131.202.240.86,366,0.956834077835083
131.202.240.86,209.148.205.34,665,0.4388129711151123
209.148.205.34,131.202.240.86,60,0.13896989822387695
131.202.240.86,209.148.205.34,665,0.05957484245300293
209.148.205.34,131.202.240.86,60,0.06304097175598145
131.202.240.86,209.148.205.34,665,0.06221318244934082
209.148.205.34,131.202.240.86,60,0.06029915809631348
131.202.240.86,209.148.205.34,665,0.06077980995178223
209.148.205.34,131.202.240.86,60,0.06170797348022461
131.202.240.86,209.148.205.34,665,0.06685018539428711
209.148.205.34,131.202.240.86,60,0.06300997734069824
131.202.240.86,209.148.205.34,665,0.059105873107910156
209.148.205.34,131.202.240.86,559,0.08499789237976074
131.202.240.86,209.148.205.34,705,0.08708691596984863
209.148.205.34,131.202.240.86,796,0.0876760482788086
131.202.240.86,209.148.205.34,705,0.08801722526550293
209.148.205.34,131.202.240.86,60,0.1193690299987793
131.202.240.86,209.148.205.34,729,0.11443877220153809
209.148.205.34,131.202.240.86,1104,0.21597909927368164
131.202.240.86,209.148.205.34,493,0.5119781494140625
209.148.205.34,131.202.240.86,857,0.5600299835205078
131.202.240.86,209.148.205.34,317,1.4152209758758545
209.148.205.34,131.202.240.86,364,1.2078418731689453
131.202.240.86,209.148.205.34,408,0.10277605056762695
209.148.205.34,131.202.240.86,60,0.10068917274475098
131.202.240.86,209.148.205.34,317,0.20241594314575195
209.148.205.34,131.202.240.86,365,0.20253777503967285
131.202.240.86,209.148.205.34,662,0.0978090763092041
131.202.240.86,209.148.205.34,662,0.46184492111206055
209.148.205.34,131.202.240.86,1319,0.5860311985015869
131.202.240.86,209.148.205.34,710,0.0952460765838623
209.148.205.34,131.202.240.86,1332,0.18500781059265137
131.202.240.86,209.148.205.34,454,0.30797696113586426
209.148.205.34,131.202.240.86,738,0.42502498626708984
131.202.240.86,209.148.205.34,317,10.784762859344482
