source_ip,destination_ip,packet_size,time_diff
131.202.240.87,207.241.226.111,423,0.0
207.241.226.111,131.202.240.87,204,0.0
131.202.240.87,131.202.240.183,141,0.0
131.202.240.183,131.202.240.87,882,0.0
131.202.240.87,131.202.240.235,144,0.0
131.202.240.235,131.202.240.87,968,0.0
131.202.240.87,131.202.240.235,144,0.03160691261291504
131.202.240.235,131.202.240.87,968,0.03260993957519531
131.202.240.87,131.202.240.183,141,0.9891209602355957
131.202.240.183,131.202.240.87,882,0.9884300231933594
131.202.240.87,131.202.240.183,141,4.997200012207031
131.202.240.183,131.202.240.87,882,4.997980117797852
131.202.240.87,131.202.240.235,144,5.9702229499816895
131.202.240.235,131.202.240.87,968,5.970210075378418
131.202.240.87,131.202.240.235,144,4.025820016860962
131.202.240.235,131.202.240.87,968,4.024688959121704
131.202.240.87,131.202.240.183,141,6.001576900482178
131.202.240.183,131.202.240.87,882,6.002046823501587
131.202.240.87,131.202.240.183,141,5.00610613822937
131.202.240.183,131.202.240.87,882,5.005319118499756
131.202.240.87,131.202.240.235,144,6.971685171127319
131.202.240.235,131.202.240.87,968,6.971776962280273
