source_ip,destination_ip,packet_size,time_diff
131.202.240.87,38.117.98.253,266,0.0
38.117.98.253,131.202.240.87,1141,0.0
131.202.240.87,38.117.98.253,273,2.129415988922119
38.117.98.253,131.202.240.87,1006,2.128528118133545
131.202.240.87,38.117.98.253,294,0.1404709815979004
38.117.98.253,131.202.240.87,575,0.14956188201904297
131.202.240.87,38.117.98.253,275,1.4233169555664062
38.117.98.253,131.202.240.87,167,1.4141240119934082
131.202.240.87,38.117.98.253,296,0.1512160301208496
38.117.98.253,131.202.240.87,575,0.150954008102417
131.202.240.87,38.117.98.253,277,1.1821160316467285
38.117.98.253,131.202.240.87,1375,1.1820640563964844
131.202.240.87,38.117.98.253,277,0.13245582580566406
38.117.98.253,131.202.240.87,1255,0.13229894638061523
131.202.240.87,38.117.98.253,277,0.0912020206451416
38.117.98.253,131.202.240.87,753,0.09422802925109863
131.202.240.87,38.117.98.253,279,0.08713316917419434
38.117.98.253,131.202.240.87,584,0.08455395698547363
131.202.240.87,38.117.98.253,279,0.17477893829345703
38.117.98.253,131.202.240.87,597,0.17487120628356934
131.202.240.87,38.117.98.253,279,0.08286690711975098
38.117.98.253,131.202.240.87,647,0.08327889442443848
131.202.240.87,38.117.98.253,279,0.08582305908203125
38.117.98.253,131.202.240.87,846,0.08534598350524902
