source_ip,destination_ip,packet_size,time_diff
131.202.240.150,216.58.219.226,1088,0.0
216.58.219.226,131.202.240.150,571,0.0
131.202.240.150,216.58.219.226,1091,0.05829811096191406
131.202.240.150,216.58.219.226,1094,0.00041604042053222656
131.202.240.150,216.58.219.226,1091,0.04305601119995117
131.202.240.150,216.58.219.226,1092,5.1975250244140625e-05
216.58.219.226,131.202.240.150,571,0.05846095085144043
216.58.219.226,131.202.240.150,571,0.00028586387634277344
131.202.240.150,216.58.219.226,1054,0.023151874542236328
131.202.240.150,216.58.219.226,1060,0.0029630661010742188
131.202.240.150,216.58.219.226,1052,0.00038695335388183594
131.202.240.150,216.58.219.226,1048,4.410743713378906e-05
216.58.219.226,131.202.240.150,571,0.04153800010681152
131.202.240.150,216.58.219.226,1051,0.02037191390991211
216.58.219.226,131.202.240.150,571,0.0024290084838867188
131.202.240.150,216.58.219.226,1049,0.002351045608520508
216.58.219.226,131.202.240.150,571,0.022407054901123047
131.202.240.150,216.58.219.226,1051,0.022476911544799805
216.58.219.226,131.202.240.150,571,0.002318143844604492
131.202.240.150,216.58.219.226,1051,0.0020990371704101562
216.58.219.226,131.202.240.150,571,0.001990795135498047
131.202.240.150,216.58.219.226,1051,0.002065896987915039
216.58.219.226,131.202.240.150,571,0.0031621456146240234
131.202.240.150,216.58.219.226,1134,0.0032770633697509766
216.58.219.226,131.202.240.150,571,0.015892982482910156
216.58.219.226,131.202.240.150,571,0.0021369457244873047
216.58.219.226,131.202.240.150,571,0.023229122161865234
216.58.219.226,131.202.240.150,571,0.001538991928100586
216.58.219.226,131.202.240.150,571,0.002928018569946289
216.58.219.226,131.202.240.150,571,0.002137899398803711
23.92.189.52,131.202.240.150,253,0.0
