source_ip,dest_ip,packet_size,time_diff
10.10.6.233,139.162.195.104,577,0
10.10.6.233,139.162.244.116,577,0
139.162.195.104,10.10.6.233,70,0
139.162.244.116,10.10.6.233,70,0
10.10.6.233,139.162.189.215,577,0
10.10.6.233,45.33.100.214,575,0
10.10.6.233,45.33.102.223,575,0
10.10.6.233,45.32.149.247,575,0
10.10.6.233,104.207.143.138,577,0
10.10.6.233,104.207.146.215,577,0
10.10.6.233,96.126.105.38,575,0
10.10.6.233,45.63.65.148,574,0
10.10.6.233,45.63.104.80,574,0
10.10.6.233,108.61.176.216,576,0
10.10.6.233,45.63.43.236,574,0
10.10.6.233,108.61.166.231,576,0
10.10.6.233,139.162.168.45,576,0
10.10.6.233,23.239.10.26,574,0
45.32.149.247,10.10.6.233,70,0
108.61.176.216,10.10.6.233,70,0
139.162.168.45,10.10.6.233,70,0
45.63.43.236,10.10.6.233,70,0
139.162.189.215,10.10.6.233,87,0
139.162.189.215,10.10.6.233,70,2.500000027794158e-05
108.61.166.231,10.10.6.233,70,0
96.126.105.38,10.10.6.233,70,0
23.239.10.26,10.10.6.233,70,0
45.33.100.214,10.10.6.233,70,0
45.33.102.223,10.10.6.233,70,0
45.63.65.148,10.10.6.233,87,0
45.63.65.148,10.10.6.233,70,0.0002919999997175182
104.207.143.138,10.10.6.233,70,0
45.63.104.80,10.10.6.233,70,0
104.207.146.215,10.10.6.233,70,0
10.10.6.233,173.230.156.102,577,0
10.10.6.233,139.162.36.167,576,0
10.10.6.233,45.32.231.117,575,0
10.10.6.233,45.32.229.166,575,0
10.10.6.233,173.255.220.148,577,0
10.10.6.233,45.32.140.191,575,0
10.10.6.233,104.207.151.202,577,0
10.10.6.233,139.162.19.102,576,0
10.10.6.233,45.76.67.59,573,0
10.10.6.233,45.32.90.209,574,0
10.10.6.233,103.43.75.238,575,0
10.10.6.233,45.63.24.116,574,0
173.230.156.102,10.10.6.233,70,0
173.255.220.148,10.10.6.233,86,0
173.255.220.148,10.10.6.233,87,3.000000106112566e-06
173.255.220.148,10.10.6.233,70,6.000000212225132e-06
45.76.67.59,10.10.6.233,70,0
45.32.90.209,10.10.6.233,70,0
45.32.231.117,10.10.6.233,70,0
104.207.151.202,10.10.6.233,70,0
45.32.140.191,10.10.6.233,70,0
45.32.229.166,10.10.6.233,70,0
139.162.36.167,10.10.6.233,70,0
139.162.19.102,10.10.6.233,70,0
103.43.75.238,10.10.6.233,87,0
103.43.75.238,10.10.6.233,70,9.099999988393392e-05
45.63.24.116,10.10.6.233,70,0
10.10.6.233,139.162.189.215,73,2.632948999999826
10.10.6.233,45.63.65.148,73,2.6327000000001135
10.10.6.233,45.63.104.80,73,2.6326660000004267
10.10.6.233,139.162.168.45,73,2.6270770000000994
10.10.6.233,23.239.10.26,73,2.627038999999968
139.162.168.45,10.10.6.233,69,2.6278940000001967
139.162.189.215,10.10.6.233,69,2.646418000000267
23.239.10.26,10.10.6.233,69,2.635570000000371
45.63.104.80,10.10.6.233,69,2.6331270000000586
45.63.65.148,10.10.6.233,69,2.6341370000000097
10.10.6.233,173.230.156.102,73,3.1358280000004015
10.10.6.233,173.255.220.148,73,3.1356770000002143
10.10.6.233,139.162.36.167,73,3.1358750000008513
10.10.6.233,139.162.19.102,73,3.1355979999998453
10.10.6.233,103.43.75.238,73,3.016532000000552
10.10.6.233,45.63.24.116,73,3.016483999999764
10.10.6.233,139.162.189.215,73,0.8387360000006083
10.10.6.233,139.162.168.45,73,0.8402409999998781
10.10.6.233,23.239.10.26,73,0.840238999999201
10.10.6.233,45.63.104.80,73,0.8403060000000551
10.10.6.233,45.63.65.148,73,0.8403280000002269
10.10.6.233,173.255.220.148,72,0.08498799999961193
10.10.6.233,139.162.19.102,72,0.08493600000019796
10.10.6.233,139.162.36.167,72,0.08495599999969272
10.10.6.233,45.63.24.116,72,0.08494900000005146
10.10.6.233,103.43.75.238,72,0.08498499999950582
10.10.6.233,173.230.156.102,72,0.0851169999996273
10.10.6.233,139.162.189.215,72,0.0035579999994297395
10.10.6.233,45.63.65.148,72,0.0018899999995483086
10.10.6.233,45.63.104.80,72,0.0019079999992754892
10.10.6.233,23.239.10.26,72,0.002013000000260945
10.10.6.233,139.162.168.45,72,0.0020400000003064633
139.162.168.45,10.10.6.233,69,0.8391339999998308
139.162.189.215,10.10.6.233,69,0.8363589999999022
173.255.220.148,10.10.6.233,69,3.1339119999993272
173.230.156.102,10.10.6.233,69,3.1438379999999597
23.239.10.26,10.10.6.233,69,0.8419179999991684
45.63.104.80,10.10.6.233,69,0.839708999999857
45.63.65.148,10.10.6.233,69,0.8440700000001016
139.162.36.167,10.10.6.233,69,3.1325959999994666
139.162.19.102,10.10.6.233,69,3.1268499999996493
103.43.75.238,10.10.6.233,69,3.011720000000423
45.63.24.116,10.10.6.233,69,3.0153369999998176
10.10.6.233,96.126.105.38,575,4.106648999999379
96.126.105.38,10.10.6.233,70,4.106380000000172
