source_ip,dest_ip,packet_size,time_diff
10.10.6.233,45.56.107.55,574,0
10.10.6.233,45.32.237.28,574,0
10.10.6.233,139.162.161.202,577,0
10.10.6.233,139.162.191.239,577,0
10.10.6.233,104.238.191.164,577,0
10.10.6.233,176.58.118.240,576,0
10.10.6.233,45.33.71.24,573,0
10.10.6.233,45.32.239.187,575,0
10.10.6.233,45.32.151.251,575,0
10.10.6.233,178.79.185.4,574,0
10.10.6.233,45.33.6.53,572,0
10.10.6.233,45.63.104.123,575,0
10.10.6.233,45.63.111.42,574,0
10.10.6.233,45.32.139.28,574,0
10.10.6.233,72.14.183.218,575,0
10.10.6.233,45.32.84.185,574,0
10.10.6.233,104.207.140.171,577,0
10.10.6.233,45.79.218.241,575,0
10.10.6.233,104.238.156.37,576,0
10.10.6.233,104.207.159.50,576,0
10.10.6.233,107.191.49.42,575,0
10.10.6.233,45.63.58.99,573,0
10.10.6.233,173.230.156.102,577,0
10.10.6.233,45.79.202.75,574,0
10.10.6.233,45.33.42.209,574,0
10.10.6.233,104.207.151.202,577,0
178.79.185.4,10.10.6.233,70,0
45.32.151.251,10.10.6.233,70,0
45.32.237.28,10.10.6.233,70,0
45.32.239.187,10.10.6.233,70,0
176.58.118.240,10.10.6.233,70,0
104.238.191.164,10.10.6.233,70,0
139.162.161.202,10.10.6.233,87,0
139.162.161.202,10.10.6.233,70,1.2999999853491317e-05
139.162.191.239,10.10.6.233,87,0
139.162.191.239,10.10.6.233,70,9.999999747378752e-06
45.33.71.24,10.10.6.233,87,0
45.33.71.24,10.10.6.233,70,2.0000000404252205e-05
45.56.107.55,10.10.6.233,70,0
45.79.218.241,10.10.6.233,70,0
45.79.202.75,10.10.6.233,70,0
45.33.6.53,10.10.6.233,70,0
72.14.183.218,10.10.6.233,70,0
107.191.49.42,10.10.6.233,70,0
45.63.111.42,10.10.6.233,70,0
45.63.104.123,10.10.6.233,70,0
104.207.140.171,10.10.6.233,70,0
45.33.42.209,10.10.6.233,87,0
45.33.42.209,10.10.6.233,70,5.99999930273043e-06
173.230.156.102,10.10.6.233,70,0
45.63.58.99,10.10.6.233,70,0
45.32.84.185,10.10.6.233,70,0
45.32.139.28,10.10.6.233,70,0
104.207.151.202,10.10.6.233,70,0
104.238.156.37,10.10.6.233,70,0
104.207.159.50,10.10.6.233,70,0
10.10.6.233,45.63.30.16,573,0
10.10.6.233,45.118.134.128,576,0
10.10.6.233,45.76.195.3,573,0
10.10.6.233,139.162.37.213,576,0
10.10.6.233,45.63.31.124,574,0
45.76.195.3,10.10.6.233,70,0
45.118.134.128,10.10.6.233,70,0
139.162.37.213,10.10.6.233,70,0
45.63.30.16,10.10.6.233,70,0
45.63.31.124,10.10.6.233,87,0
45.63.31.124,10.10.6.233,70,0.00010199999996984843
10.10.6.233,139.162.161.202,73,3.238965999999891
10.10.6.233,72.14.183.218,73,3.2383830000007947
10.10.6.233,139.162.191.239,73,3.238947000000735
10.10.6.233,45.32.84.185,73,3.238368999999693
10.10.6.233,107.191.49.42,73,3.238173000000643
10.10.6.233,45.33.71.24,73,3.238876999999775
10.10.6.233,173.230.156.102,73,3.238108000000466
10.10.6.233,45.79.202.75,73,3.2380919999995967
10.10.6.233,178.79.185.4,73,3.238796000000548
10.10.6.233,45.33.42.209,73,3.2380670000002283
10.10.6.233,45.63.30.16,73,2.941953000000467
10.10.6.233,45.63.31.124,73,2.94156699999985
10.10.6.233,45.118.134.128,73,2.9417480000001888
178.79.185.4,10.10.6.233,69,3.2389010000006238
139.162.161.202,10.10.6.233,69,3.2416110000003755
139.162.191.239,10.10.6.233,69,3.2485999999998967
45.33.71.24,10.10.6.233,69,3.237076999999772
45.79.202.75,10.10.6.233,69,3.23852799999986
72.14.183.218,10.10.6.233,69,3.2367410000006203
107.191.49.42,10.10.6.233,69,3.2386230000001888
173.230.156.102,10.10.6.233,69,3.2370449999998527
45.33.42.209,10.10.6.233,69,3.239039000000048
45.32.84.185,10.10.6.233,69,3.2393580000007205
10.10.6.233,139.162.161.202,73,0.17560800000046584
10.10.6.233,139.162.191.239,73,0.17599499999960244
139.162.161.202,10.10.6.233,69,0.1637189999992188
139.162.191.239,10.10.6.233,69,0.156449000000066
10.10.6.233,45.33.71.24,73,0.22122900000067602
10.10.6.233,178.79.185.4,73,0.22119500000007974
10.10.6.233,72.14.183.218,73,0.22211299999980838
10.10.6.233,45.32.84.185,73,0.22208599999976286
10.10.6.233,107.191.49.42,73,0.22207299999990937
10.10.6.233,173.230.156.102,73,0.22206000000005588
10.10.6.233,45.79.202.75,73,0.222037000000455
10.10.6.233,45.33.42.209,73,0.22202300000026298
10.10.6.233,139.162.161.202,73,0.047023999999510124
10.10.6.233,139.162.191.239,73,0.04675599999973201
178.79.185.4,10.10.6.233,69,0.22102999999970052
10.10.6.233,178.79.185.4,73,0.016063999999460066
139.162.161.202,10.10.6.233,69,0.048688000000765896
139.162.191.239,10.10.6.233,69,0.04527499999949214
10.10.6.233,139.162.161.202,73,0.016924999999901047
10.10.6.233,139.162.191.239,73,0.016792000000350527
45.118.134.128,10.10.6.233,69,2.94236600000022
10.10.6.233,45.118.134.128,73,0.245799000000261
178.79.185.4,10.10.6.233,69,0.015139999999519205
10.10.6.233,178.79.185.4,73,0.01733700000022509
139.162.161.202,10.10.6.233,69,0.026582999999845924
178.79.185.4,10.10.6.233,69,0.015761000000566128
139.162.191.239,10.10.6.233,69,0.03593799999998737
10.10.6.233,139.162.161.202,73,0.036466000000473286
10.10.6.233,178.79.185.4,73,0.021273000000292086
10.10.6.233,139.162.191.239,73,0.036885999999867636
178.79.185.4,10.10.6.233,69,0.0213739999999234
10.10.6.233,178.79.185.4,73,0.01390599999922415
45.63.31.124,10.10.6.233,69,2.933484999999564
139.162.191.239,10.10.6.233,69,0.01635800000076415
10.10.6.233,45.63.31.124,73,0.2914780000000974
10.10.6.233,139.162.191.239,73,0.015269000000444066
178.79.185.4,10.10.6.233,69,0.015124999999898137
10.10.6.233,178.79.185.4,73,0.015105000000403379
45.63.30.16,10.10.6.233,69,2.949021999999786
139.162.161.202,10.10.6.233,69,0.04045700000006036
10.10.6.233,45.63.30.16,73,0.3065390000001571
10.10.6.233,139.162.161.202,73,0.030754999999771826
45.33.71.24,10.10.6.233,69,0.23068500000044878
10.10.6.233,45.33.71.24,73,0.09060799999951996
45.79.202.75,10.10.6.233,69,0.22128200000042852
10.10.6.233,45.79.202.75,73,0.0952419999994163
178.79.185.4,10.10.6.233,69,0.014019999999618449
10.10.6.233,178.79.185.4,73,0.01368800000000192
139.162.161.202,10.10.6.233,69,0.015523999999459193
10.10.6.233,139.162.161.202,73,0.015209000000140804
139.162.191.239,10.10.6.233,69,0.03602299999965908
10.10.6.233,139.162.191.239,73,0.0362409999997908
178.79.185.4,10.10.6.233,69,0.013514000000213855
10.10.6.233,178.79.185.4,73,0.013517000000319968
107.191.49.42,10.10.6.233,69,0.22262200000022858
10.10.6.233,107.191.49.42,73,0.12192499999946449
178.79.185.4,10.10.6.233,69,0.013544000000365486
72.14.183.218,10.10.6.233,69,0.22935400000005757
10.10.6.233,178.79.185.4,73,0.016388000000006286
10.10.6.233,72.14.183.218,73,0.12665000000015425
139.162.161.202,10.10.6.233,69,0.027367000000595
10.10.6.233,139.162.161.202,73,0.027381999999306572
139.162.191.239,10.10.6.233,69,0.030029999999896972
10.10.6.233,139.162.191.239,73,0.029860999999982596
178.79.185.4,10.10.6.233,69,0.016324999999596912
45.33.42.209,10.10.6.233,69,0.21961600000031467
10.10.6.233,178.79.185.4,73,0.013690999999198539
10.10.6.233,45.33.42.209,73,0.14028499999949418
139.162.161.202,10.10.6.233,69,0.01518099999975675
10.10.6.233,139.162.161.202,73,0.015151000000514614
173.230.156.102,10.10.6.233,69,0.22792399999980262
10.10.6.233,173.230.156.102,73,0.1489320000000589
139.162.191.239,10.10.6.233,69,0.015352000000348198
10.10.6.233,139.162.191.239,73,0.015472000000045227
178.79.185.4,10.10.6.233,69,0.013648000000102911
10.10.6.233,178.79.185.4,73,0.013447000000269327
178.79.185.4,10.10.6.233,69,0.013563000000431202
139.162.161.202,10.10.6.233,69,0.025697999999465537
10.10.6.233,178.79.185.4,73,0.014573999999811349
10.10.6.233,139.162.161.202,73,0.02608299999974406
139.162.191.239,10.10.6.233,69,0.0213819999999032
45.33.71.24,10.10.6.233,69,0.0835109999998167
10.10.6.233,139.162.191.239,73,0.021350999999413034
10.10.6.233,45.33.71.24,73,0.08290899999974499
45.32.84.185,10.10.6.233,69,0.23631599999953323
10.10.6.233,45.32.84.185,73,0.17588400000022375
178.79.185.4,10.10.6.233,69,0.014502999999422173
10.10.6.233,178.79.185.4,73,0.014078000000154134
139.162.161.202,10.10.6.233,69,0.015556000000287895
10.10.6.233,139.162.161.202,73,0.015636000000085915
139.162.191.239,10.10.6.233,69,0.015521000000262575
10.10.6.233,139.162.191.239,73,0.015396000000691856
45.79.202.75,10.10.6.233,69,0.09322799999972631
10.10.6.233,45.79.202.75,73,0.09326099999998405
178.79.185.4,10.10.6.233,69,0.01413200000024517
10.10.6.233,178.79.185.4,73,0.013539999999920838
139.162.161.202,10.10.6.233,69,0.021748000000116008
