source_ip,destination_ip,packet_size,time_diff
10.10.6.233,45.32.145.145,549,0.0
10.10.6.233,45.79.193.68,548,0.0
45.32.145.145,10.10.6.233,87,0.0
45.32.145.145,10.10.6.233,70,9.107589721679688e-05
10.10.6.233,45.56.123.206,549,0.0
10.10.6.233,45.76.19.80,547,0.0
10.10.6.233,45.32.166.108,549,0.0
10.10.6.233,45.79.74.40,547,0.0
10.10.6.233,45.79.99.69,547,0.0
10.10.6.233,104.238.157.28,550,0.0
10.10.6.233,45.32.85.109,548,0.0
10.10.6.233,45.32.145.145,73,0.06090211868286133
10.10.6.233,45.32.138.125,549,0.0
10.10.6.233,104.156.252.28,550,0.0
45.32.145.145,10.10.6.233,69,0.0660710334777832
10.10.6.233,45.32.145.145,73,0.03209400177001953
45.79.193.68,10.10.6.233,70,0.0
45.32.145.145,10.10.6.233,69,0.03443288803100586
10.10.6.233,45.79.139.137,549,0.0
10.10.6.233,45.79.193.68,73,0.11604905128479004
10.10.6.233,45.32.145.145,73,0.03387188911437988
45.76.19.80,10.10.6.233,70,0.0
45.32.145.145,10.10.6.233,69,0.04052305221557617
10.10.6.233,45.32.145.145,73,0.03381705284118652
45.32.166.108,10.10.6.233,70,0.0
45.56.123.206,10.10.6.233,87,0.0
45.56.123.206,10.10.6.233,70,1.5020370483398438e-05
45.32.145.145,10.10.6.233,69,0.019353866577148438
45.79.74.40,10.10.6.233,70,0.0
10.10.6.233,45.32.166.108,73,0.15843605995178223
10.10.6.233,45.56.123.206,73,0.16011404991149902
10.10.6.233,45.32.145.145,73,0.03138303756713867
45.79.99.69,10.10.6.233,70,0.0
10.10.6.233,45.79.74.40,73,0.14757084846496582
45.79.139.137,10.10.6.233,70,0.0
104.238.157.28,10.10.6.233,70,0.0
45.32.145.145,10.10.6.233,69,0.03484201431274414
45.32.85.109,10.10.6.233,70,0.0
45.79.193.68,10.10.6.233,69,0.1148080825805664
10.10.6.233,45.32.145.145,73,0.037735939025878906
45.32.138.125,10.10.6.233,87,0.0
45.32.138.125,10.10.6.233,70,7.987022399902344e-05
10.10.6.233,45.79.193.68,73,0.10416197776794434
10.10.6.233,45.32.138.125,73,0.17086291313171387
10.10.6.233,45.56.66.80,547,0.0
104.156.252.28,10.10.6.233,70,0.0
45.32.145.145,10.10.6.233,69,0.03427314758300781
10.10.6.233,104.156.252.28,73,0.20566606521606445
10.10.6.233,45.32.145.145,73,0.05002999305725098
45.32.145.145,10.10.6.233,69,0.05012989044189453
45.32.166.108,10.10.6.233,69,0.15851497650146484
10.10.6.233,45.32.145.145,73,0.042281150817871094
10.10.6.233,45.32.166.108,73,0.13267302513122559
45.79.74.40,10.10.6.233,69,0.14784693717956543
45.56.123.206,10.10.6.233,69,0.158843994140625
45.79.193.68,10.10.6.233,69,0.11908197402954102
45.32.145.145,10.10.6.233,69,0.042173147201538086
10.10.6.233,45.79.74.40,73,0.17963504791259766
10.10.6.233,45.56.123.206,73,0.18085789680480957
10.10.6.233,45.79.193.68,73,0.1461620330810547
10.10.6.233,45.32.145.145,73,0.05498695373535156
45.32.138.125,10.10.6.233,69,0.16797113418579102
45.32.145.145,10.10.6.233,69,0.06274795532226562
45.56.66.80,10.10.6.233,70,0.0
45.32.166.108,10.10.6.233,69,0.1281728744506836
104.156.252.28,10.10.6.233,69,0.20319890975952148
10.10.6.233,45.32.138.125,73,0.22040891647338867
10.10.6.233,45.32.145.145,73,0.08509087562561035
10.10.6.233,45.56.66.80,73,0.21724510192871094
45.79.193.68,10.10.6.233,69,0.13027501106262207
45.32.145.145,10.10.6.233,69,0.08246803283691406
10.10.6.233,45.32.166.108,73,0.16461706161499023
10.10.6.233,104.156.252.28,73,0.20794892311096191
45.56.123.206,10.10.6.233,69,0.1573319435119629
10.10.6.233,45.79.193.68,73,0.12636899948120117
10.10.6.233,45.32.145.145,73,0.04124307632446289
10.10.6.233,45.56.123.206,73,0.13129591941833496
45.79.74.40,10.10.6.233,69,0.1791379451751709
45.32.145.145,10.10.6.233,69,0.03649187088012695
10.10.6.233,45.79.74.40,73,0.16117405891418457
10.10.6.233,45.32.145.145,73,0.0304410457611084
45.32.145.145,10.10.6.233,69,0.04408097267150879
45.56.66.80,10.10.6.233,69,0.17481493949890137
10.10.6.233,45.79.212.114,549,0.0
10.10.6.233,45.32.145.145,73,0.06197404861450195
45.79.193.68,10.10.6.233,69,0.12633109092712402
45.32.145.145,10.10.6.233,69,0.047965049743652344
45.32.166.108,10.10.6.233,69,0.16676807403564453
45.32.138.125,10.10.6.233,69,0.220505952835083
10.10.6.233,45.56.66.80,73,0.16702985763549805
10.10.6.233,45.79.193.68,73,0.1264960765838623
45.56.123.206,10.10.6.233,69,0.14998102188110352
104.156.252.28,10.10.6.233,69,0.19918298721313477
45.79.74.40,10.10.6.233,69,0.1727461814880371
45.79.212.114,10.10.6.233,70,0.0
10.10.6.233,45.32.145.145,73,0.1040959358215332
10.10.6.233,45.32.166.108,73,0.21240997314453125
