source_ip,dest_ip,packet_size,time_diff
10.10.6.233,139.162.223.191,551,0
10.10.6.233,139.162.196.110,551,0
10.10.6.233,45.32.237.28,548,0
139.162.196.110,10.10.6.233,87,0
139.162.196.110,10.10.6.233,70,3.000000106112566e-06
139.162.223.191,10.10.6.233,70,0
45.32.237.28,10.10.6.233,70,0
10.10.6.233,45.32.239.187,549,0
45.32.239.187,10.10.6.233,70,0
10.10.6.233,139.162.196.110,73,0.08394900000075722
10.10.6.233,139.162.223.191,73,0.08405300000049465
10.10.6.233,139.162.223.191,73,0.10932099999990896
10.10.6.233,139.162.196.110,73,0.1094729999995252
139.162.196.110,10.10.6.233,69,0.19407400000000052
139.162.223.191,10.10.6.233,69,0.1958939999994982
45.63.104.123,10.10.6.233,70,0
45.79.191.220,10.10.6.233,70,0
10.10.6.233,45.76.110.32,548,0
10.10.6.233,139.162.196.110,73,0.06610900000032416
10.10.6.233,139.162.223.191,73,0.06625999999960186
10.10.6.233,45.76.195.3,547,0
139.162.196.110,10.10.6.233,69,0.07834399999956076
139.162.223.191,10.10.6.233,69,0.08783099999982369
10.10.6.233,45.63.31.124,548,0
45.32.84.185,10.10.6.233,70,0
104.207.159.50,10.10.6.233,70,0
10.10.6.233,139.162.196.110,73,0.07889199999954144
10.10.6.233,139.162.223.191,73,0.09834399999999732
139.162.196.110,10.10.6.233,69,0.07644600000003265
139.162.223.191,10.10.6.233,69,0.07661300000017945
10.10.6.233,139.162.196.110,73,0.07030100000065431
139.162.196.110,10.10.6.233,69,0.060402000000067346
10.10.6.233,139.162.223.191,73,0.07228500000019267
139.162.223.191,10.10.6.233,69,0.0829329999996844
10.10.6.233,104.207.151.202,551,0
10.10.6.233,139.162.196.110,73,0.07745199999953911
10.10.6.233,139.162.223.191,73,0.05800300000009884
45.76.110.32,10.10.6.233,70,0
139.162.196.110,10.10.6.233,69,0.078019000000495
139.162.223.191,10.10.6.233,69,0.044165000000248256
10.10.6.233,139.162.196.110,73,0.040407999999843014
10.10.6.233,139.162.223.191,73,0.03851699999995617
139.162.223.191,10.10.6.233,69,0.039227000000209955
139.162.196.110,10.10.6.233,69,0.03990099999919039
45.76.195.3,10.10.6.233,70,0
10.10.6.233,139.162.223.191,73,0.022458000000369793
10.10.6.233,139.162.196.110,73,0.02272700000048644
10.10.6.233,45.76.195.3,73,0.27478700000028766
139.162.196.110,10.10.6.233,69,0.023804000000382075
10.10.6.233,139.162.196.110,73,0.015448000000105822
139.162.223.191,10.10.6.233,69,0.02973199999996723
10.10.6.233,139.162.223.191,73,0.02149199999985285
139.162.196.110,10.10.6.233,69,0.014540000000124564
139.162.223.191,10.10.6.233,69,0.01349599999957718
45.63.31.124,10.10.6.233,70,0
10.10.6.233,139.162.196.110,73,0.05528099999992264
10.10.6.233,139.162.223.191,73,0.049447000000327535
104.207.151.202,10.10.6.233,87,0
104.207.151.202,10.10.6.233,70,2.2000000171829015e-05
10.10.6.233,45.63.31.124,73,0.3310199999996257
10.10.6.233,104.207.151.202,73,0.17011099999945145
139.162.196.110,10.10.6.233,69,0.061265999999704945
139.162.223.191,10.10.6.233,69,0.07602500000029977
10.10.6.233,139.162.196.110,73,0.04205999999976484
10.10.6.233,139.162.223.191,73,0.04322599999977683
139.162.196.110,10.10.6.233,69,0.03976000000056956
139.162.223.191,10.10.6.233,69,0.035697000000254775
10.10.6.233,139.162.196.110,73,0.03331499999967491
10.10.6.233,139.162.223.191,73,0.033820999999989
139.162.196.110,10.10.6.233,69,0.028537999999571184
139.162.223.191,10.10.6.233,69,0.015158999999584921
10.10.6.233,139.162.196.110,73,0.030982000000221888
10.10.6.233,139.162.223.191,73,0.029276000000209024
139.162.196.110,10.10.6.233,69,0.03245500000048196
139.162.223.191,10.10.6.233,69,0.03069000000050437
10.10.6.233,139.162.196.110,73,0.036728000000039174
10.10.6.233,139.162.223.191,73,0.039002999999866006
139.162.196.110,10.10.6.233,69,0.035697999999683816
139.162.223.191,10.10.6.233,69,0.03716399999939313
10.10.6.233,45.79.202.75,548,0
10.10.6.233,139.162.196.110,73,0.027299000000311935
10.10.6.233,139.162.223.191,73,0.02501399999982823
104.207.151.202,10.10.6.233,69,0.17049799999949755
139.162.196.110,10.10.6.233,69,0.02800999999999476
10.10.6.233,104.207.151.202,72,0.17448400000012043
10.10.6.233,45.76.195.3,72,0.2533320000002277
10.10.6.233,45.63.31.124,72,0.17458200000055513
10.10.6.233,139.162.196.110,72,0.017980999999963387
10.10.6.233,139.162.223.191,72,0.01797900000019581
139.162.223.191,10.10.6.233,69,0.03424200000063138
45.76.195.3,10.10.6.233,69,0.2713850000000093
45.79.202.75,10.10.6.233,70,0
45.63.31.124,10.10.6.233,69,0.33063899999979185
10.10.6.233,139.162.242.65,550,0
139.162.242.65,10.10.6.233,70,0
10.10.6.233,139.162.242.65,73,0.04209700000046723
10.10.6.233,139.162.242.65,117,3.500000002532033e-05
10.10.6.233,139.162.242.65,82,0.0006329999996523838
139.162.242.65,10.10.6.233,69,0.0404049999997369
139.162.242.65,10.10.6.233,69,3.000000106112566e-06
139.162.242.65,10.10.6.233,83,3.000000106112566e-06
10.10.6.233,139.162.242.65,73,0.0338130000000092
10.10.6.233,139.162.242.65,82,0.03722899999957008
139.162.242.65,10.10.6.233,1434,0.04333500000029744
139.162.242.65,10.10.6.233,109,0.00033199999961652793
139.162.242.65,10.10.6.233,69,0.003701000000546628
139.162.242.65,10.10.6.233,601,0.03400899999996909
139.162.242.65,10.10.6.233,698,0.03791399999954592
10.10.6.233,139.162.242.65,73,0.09154000000035012
10.10.6.233,139.162.242.65,82,0.0009710000003906316
139.162.242.65,10.10.6.233,638,0.04191400000036083
139.162.242.65,10.10.6.233,69,0.004358999999567459
139.162.242.65,10.10.6.233,604,0.031665000000430155
139.162.242.65,10.10.6.233,618,0.04140000000006694
10.10.6.233,139.162.242.65,73,0.14474799999970855
10.10.6.233,139.162.242.65,82,0.006421000000045751
139.162.242.65,10.10.6.233,664,0.04972899999938818
139.162.242.65,10.10.6.233,69,0.005444000000352389
139.162.242.65,10.10.6.233,617,0.01713999999992666
10.10.6.233,139.162.242.65,73,0.03168600000026345
10.10.6.233,139.162.242.65,82,0.005218999999669904
139.162.242.65,10.10.6.233,69,0.020169999999779975
10.10.6.233,139.162.242.65,73,0.026006000000052154
10.10.6.233,139.162.242.65,82,0.004925000000184809
139.162.242.65,10.10.6.233,738,0.025115000000369037
139.162.242.65,10.10.6.233,69,0.006653999999798543
10.10.6.233,139.162.242.65,73,0.04239700000016455
139.162.242.65,10.10.6.233,693,0.03899100000035105
139.162.242.65,10.10.6.233,69,0.007894999999734864
10.10.6.233,139.162.242.65,73,0.013562999999521708
139.162.242.65,10.10.6.233,963,0.03336300000046322
139.162.242.65,10.10.6.233,69,0.005145999999513151
10.10.6.233,139.162.242.65,82,0.042752000000291446
10.10.6.233,139.162.242.65,73,0.02480199999990873
139.162.242.65,10.10.6.233,738,0.030526999999892723
139.162.242.65,10.10.6.233,69,0.012780000000020664
139.162.242.65,10.10.6.233,728,0.03027100000053906
10.10.6.233,139.162.242.65,82,0.05575799999951414
139.162.242.65,10.10.6.233,803,0.04521599999952741
10.10.6.233,139.162.242.65,73,0.035367000000405824
10.10.6.233,139.162.242.65,82,0.024811000000227068
139.162.242.65,10.10.6.233,903,0.03202500000043074
139.162.242.65,10.10.6.233,69,0.005260999999336491
139.162.242.65,10.10.6.233,735,0.03026300000055926
10.10.6.233,139.162.242.65,73,0.044694999999592255
139.162.242.65,10.10.6.233,69,0.016798999999991793
10.10.6.233,139.162.242.65,73,0.01547000000027765
10.10.6.233,139.162.242.65,82,0.0003329999999550637
139.162.242.65,10.10.6.233,729,0.02976799999942159
139.162.242.65,10.10.6.233,69,0.006441000000450003
10.10.6.233,139.162.242.65,82,0.036463999999796215
139.162.242.65,10.10.6.233,767,0.029637999999977183
10.10.6.233,139.162.242.65,73,0.03410900000017136
139.162.242.65,10.10.6.233,69,0.020564000000376836
10.10.6.233,139.162.242.65,73,0.013874000000214437
139.162.242.65,10.10.6.233,949,0.020054999999956635
139.162.242.65,10.10.6.233,69,0.004544999999779975
10.10.6.233,139.162.242.65,73,0.024176999999326654
10.10.6.233,139.162.242.65,82,0.011382000000594417
139.162.242.65,10.10.6.233,69,0.0143740000003163
139.162.242.65,10.10.6.233,804,0.022538999999596854
10.10.6.233,139.162.242.65,73,0.027930999999625783
139.162.242.65,10.10.6.233,69,0.015863999999965017
10.10.6.233,139.162.242.65,73,0.016480000000228756
10.10.6.233,139.162.242.65,82,2.7999999474559445e-05
139.162.242.65,10.10.6.233,787,0.031200999999782653
139.162.242.65,10.10.6.233,69,0.006070999999792548
10.10.6.233,139.162.242.65,82,0.041061000000809145
139.162.242.65,10.10.6.233,811,0.0325780000002851
10.10.6.233,139.162.242.65,73,0.03273599999920407
139.162.242.65,10.10.6.233,1020,0.030357999999978347
139.162.242.65,10.10.6.233,69,0.0039329999999608845
10.10.6.233,139.162.242.65,82,0.02699800000027608
139.162.242.65,10.10.6.233,835,0.043703000000277825
10.10.6.233,139.162.242.65,73,0.06863200000043435
10.10.6.233,139.162.242.65,82,0.005994000000100641
139.162.242.65,10.10.6.233,747,0.03356499999972584
139.162.242.65,10.10.6.233,69,0.004695999999967171
10.10.6.233,139.162.242.65,73,0.036441999999624386
139.162.242.65,10.10.6.233,787,0.03837000000021362
139.162.242.65,10.10.6.233,69,0.006092999999964377
10.10.6.233,139.162.242.65,73,0.01592700000037439
10.10.6.233,139.162.242.65,82,0.016999999999825377
139.162.242.65,10.10.6.233,886,0.033021999999618856
139.162.242.65,10.10.6.233,69,0.0020450000001801527
10.10.6.233,139.162.242.65,73,0.03497999999945023
139.162.242.65,10.10.6.233,811,0.036775999999917985
139.162.242.65,10.10.6.233,69,0.0059000000001105946
10.10.6.233,139.162.242.65,82,0.029500000000552973
10.10.6.233,139.162.242.65,73,0.02764999999999418
10.10.6.233,139.162.242.65,82,0.002966000000014901
