source_ip,destination_ip,packet_size,time_diff
10.8.0.10,178.255.83.1,491,0.0
178.255.83.1,10.8.0.10,926,0.0
10.8.0.10,82.165.251.100,331,0.0
10.8.0.10,82.165.251.100,334,0.4648158550262451
10.8.0.10,82.165.251.100,331,8.606910705566406e-05
82.165.251.100,10.8.0.10,1364,0.0
82.165.251.100,10.8.0.10,258,0.16940093040466309
82.165.251.100,10.8.0.10,258,0.012298107147216797
10.8.0.10,82.165.251.100,374,0.23071002960205078
10.8.0.10,82.165.251.100,381,0.005928993225097656
10.8.0.10,173.194.123.121,340,0.0
173.194.123.121,10.8.0.10,390,0.0
10.8.0.10,23.65.248.82,334,0.0
10.8.0.10,173.194.123.121,349,0.08924293518066406
173.194.123.121,10.8.0.10,1135,0.06212902069091797
82.165.251.100,10.8.0.10,258,0.21690988540649414
10.8.0.10,74.125.226.169,489,0.0
82.165.251.100,10.8.0.10,45,0.0710439682006836
23.65.248.82,10.8.0.10,538,0.0
74.125.226.169,10.8.0.10,833,0.0
10.8.0.10,74.125.226.169,489,0.06638908386230469
74.125.226.169,10.8.0.10,833,0.06478404998779297
10.8.0.10,184.26.44.96,504,0.0
184.26.44.96,10.8.0.10,642,0.0
10.8.0.10,72.21.91.29,491,0.0
72.21.91.29,10.8.0.10,840,0.0
10.8.0.10,91.189.90.41,633,0.0
91.189.90.41,10.8.0.10,394,0.0
10.8.0.10,173.194.123.70,489,0.0
173.194.123.70,10.8.0.10,833,0.0
10.8.0.10,72.21.91.29,491,2806.099632024765
10.8.0.10,72.21.91.29,491,0.00016307830810546875
72.21.91.29,10.8.0.10,840,2806.099363088608
72.21.91.29,10.8.0.10,840,0.0006949901580810547
