source_ip,destination_ip,packet_size,time_diff
10.8.8.130,157.56.114.104,274,0.0
157.56.114.104,10.8.8.130,450,0.0
10.8.8.130,157.56.114.104,274,60.138293981552124
157.56.114.104,10.8.8.130,450,60.129966020584106
10.8.8.130,157.56.198.10,1064,0.0
157.56.198.10,10.8.8.130,640,0.0
10.8.8.130,23.97.219.200,1060,0.0
23.97.219.200,10.8.8.130,433,0.0
10.8.8.130,108.162.232.203,480,0.0
108.162.232.203,10.8.8.130,1078,0.0
10.8.8.130,157.56.114.104,274,122.70308303833008
157.56.114.104,10.8.8.130,450,122.7069730758667
10.8.8.130,157.56.114.104,274,56.88819694519043
157.56.114.104,10.8.8.130,450,56.88753390312195
