source_ip,destination_ip,packet_size,time_diff
10.8.8.138,193.235.32.101,219,0.0
193.235.32.101,10.8.8.138,557,0.0
10.8.8.138,54.192.55.186,255,0.0
54.192.55.186,10.8.8.138,1164,0.0
10.8.8.138,74.125.226.38,370,0.0
74.125.226.38,10.8.8.138,219,0.0
10.8.8.138,54.192.55.193,487,0.0
54.192.55.193,10.8.8.138,386,0.0
10.8.8.138,23.235.40.246,270,0.0
23.235.40.246,10.8.8.138,819,0.0
10.8.8.138,24.156.130.203,403,0.0
24.156.130.203,10.8.8.138,536,0.0
10.8.8.138,24.156.130.203,409,1.317309856414795
24.156.130.203,10.8.8.138,948,0.7559680938720703
10.8.8.138,24.156.130.203,410,0.7629661560058594
24.156.130.203,10.8.8.138,952,0.7721140384674072
10.8.8.138,24.156.130.203,410,0.7969298362731934
24.156.130.203,10.8.8.138,996,0.5861639976501465
10.8.8.138,24.156.130.203,410,0.6006779670715332
10.8.8.138,24.156.130.203,410,0.7999880313873291
24.156.130.203,10.8.8.138,292,1.3768310546875
10.8.8.138,24.156.130.203,410,0.6007089614868164
10.8.8.138,24.156.130.203,410,0.598790168762207
10.8.8.138,24.156.130.203,410,0.8002228736877441
24.156.130.203,10.8.8.138,76,1.988867998123169
10.8.8.138,24.156.130.203,410,0.6004431247711182
24.156.130.203,10.8.8.138,1276,0.5897929668426514
10.8.8.138,24.156.130.203,410,0.6465590000152588
24.156.130.203,10.8.8.138,416,0.7179098129272461
10.8.8.138,24.156.130.203,410,0.5784909725189209
24.156.130.203,10.8.8.138,288,0.578045129776001
10.8.8.138,24.156.130.203,410,0.5822319984436035
24.156.130.203,10.8.8.138,1136,0.33890509605407715
10.8.8.138,24.156.130.203,403,10.109734058380127
24.156.130.203,10.8.8.138,255,11.217607975006104
10.8.8.138,24.156.130.203,409,1.3906769752502441
24.156.130.203,10.8.8.138,695,0.804858922958374
10.8.8.138,24.156.130.203,410,0.8048839569091797
24.156.130.203,10.8.8.138,227,0.8137359619140625
10.8.8.138,24.156.130.203,410,0.8137450218200684
24.156.130.203,10.8.8.138,407,0.8209600448608398
10.8.8.138,24.156.130.203,410,0.8211169242858887
24.156.130.203,10.8.8.138,1232,0.6745491027832031
10.8.8.138,24.156.130.203,410,0.6743769645690918
24.156.130.203,10.8.8.138,915,0.8181698322296143
10.8.8.138,24.156.130.203,410,0.8189401626586914
24.156.130.203,10.8.8.138,836,0.8110101222991943
10.8.8.138,24.156.130.203,410,0.8102419376373291
24.156.130.203,10.8.8.138,671,0.6574230194091797
10.8.8.138,24.156.130.203,410,0.6573998928070068
24.156.130.203,10.8.8.138,903,0.8123049736022949
10.8.8.138,24.156.130.203,410,0.81308913230896
24.156.130.203,10.8.8.138,267,0.6690459251403809
10.8.8.138,24.156.130.203,410,0.6689248085021973
24.156.130.203,10.8.8.138,1152,0.24135899543762207
10.8.8.138,24.156.130.203,403,299.15593004226685
24.156.130.203,10.8.8.138,1283,299.70030212402344
10.8.8.138,24.156.130.203,409,0.7852940559387207
10.8.8.138,24.156.130.203,410,0.6664960384368896
10.8.8.138,24.156.130.203,410,0.6664459705352783
10.8.8.138,24.156.130.203,410,0.9899909496307373
10.8.8.138,24.156.130.203,410,0.6543021202087402
24.156.130.203,10.8.8.138,700,3.434952974319458
10.8.8.138,24.156.130.203,410,0.4575028419494629
24.156.130.203,10.8.8.138,1288,0.4597289562225342
10.8.8.138,24.156.130.203,410,0.4597630500793457
24.156.130.203,10.8.8.138,748,0.4640979766845703
