source_ip,destination_ip,packet_size,time_diff
10.8.8.222,178.255.83.1,388,0.0
178.255.83.1,10.8.8.222,928,0.0
10.8.8.222,178.255.83.1,390,0.2949700355529785
178.255.83.1,10.8.8.222,1185,0.2947580814361572
10.8.8.222,178.255.83.1,392,0.2696537971496582
178.255.83.1,10.8.8.222,928,0.27040600776672363
10.8.8.222,212.73.221.202,343,0.0
212.73.221.202,10.8.8.222,106,0.0
10.8.8.222,212.73.221.202,350,2.3187220096588135
212.73.221.202,10.8.8.222,1087,2.3185648918151855
10.8.8.222,212.73.221.202,371,0.23688507080078125
212.73.221.202,10.8.8.222,551,0.23209595680236816
10.8.8.222,212.73.221.202,354,2.6544899940490723
212.73.221.202,10.8.8.222,642,2.65474009513855
10.8.8.222,212.73.221.202,354,0.17524290084838867
212.73.221.202,10.8.8.222,857,0.1762239933013916
10.8.8.222,212.73.221.202,354,0.1681070327758789
212.73.221.202,10.8.8.222,1329,0.16719603538513184
10.8.8.222,212.73.221.202,354,0.17118287086486816
212.73.221.202,10.8.8.222,619,0.1713249683380127
