source_ip,destination_ip,packet_size,time_diff
10.8.8.246,80.239.174.47,343,0.0
80.239.174.47,10.8.8.246,125,0.0
10.8.8.246,80.239.174.47,350,2.789808988571167
80.239.174.47,10.8.8.246,1087,2.7895829677581787
10.8.8.246,80.239.174.47,371,0.21677303314208984
80.239.174.47,10.8.8.246,551,0.21390199661254883
10.8.8.246,80.239.174.47,354,2.738132953643799
80.239.174.47,10.8.8.246,642,2.7416839599609375
10.8.8.246,80.239.174.47,354,0.17110514640808105
80.239.174.47,10.8.8.246,857,0.16942095756530762
10.8.8.246,80.239.174.47,354,0.16528797149658203
80.239.174.47,10.8.8.246,1329,0.16566109657287598
10.8.8.246,80.239.174.47,354,0.16641998291015625
80.239.174.47,10.8.8.246,619,0.1689929962158203
