source_ip,destination_ip,packet_size,time_diff
131.202.240.150,54.192.54.208,342,0.0
131.202.240.150,54.192.54.208,375,9.489059448242188e-05
131.202.240.150,54.192.54.208,375,4.100799560546875e-05
131.202.240.150,54.192.54.208,375,0.0005791187286376953
131.202.240.150,54.192.54.208,375,5.793571472167969e-05
131.202.240.150,54.192.54.208,375,0.0007500648498535156
54.192.54.208,131.202.240.150,395,0.0
131.202.240.150,54.192.54.208,375,0.026115894317626953
54.192.54.208,131.202.240.150,456,0.006209135055541992
131.202.240.150,54.192.54.208,375,0.0056819915771484375
54.192.54.208,131.202.240.150,309,0.027688026428222656
131.202.240.150,54.192.54.208,375,0.02786707878112793
54.192.54.208,131.202.240.150,3078,0.004586935043334961
54.192.54.208,131.202.240.150,3509,0.0005929470062255859
54.192.54.208,131.202.240.150,1351,0.004125118255615234
54.192.54.208,131.202.240.150,1623,0.015336990356445312
54.192.54.208,131.202.240.150,877,0.032266855239868164
54.192.54.208,131.202.240.150,1883,0.1835629940032959
131.202.240.150,54.192.54.208,375,1.5974431037902832
131.202.240.150,54.192.54.208,375,0.007931947708129883
54.192.54.208,131.202.240.150,2311,1.5783970355987549
54.192.54.208,131.202.240.150,1727,0.4845430850982666
