source_ip,destination_ip,packet_size,time_diff
10.8.8.110,216.58.208.46,487,0.0
216.58.208.46,10.8.8.110,831,0.0
10.8.8.110,93.184.220.29,489,0.0
93.184.220.29,10.8.8.110,840,0.0
10.8.8.110,93.184.220.29,489,0.12420487403869629
93.184.220.29,10.8.8.110,840,0.1430048942565918
10.8.8.110,93.184.220.29,489,119.48858714103699
93.184.220.29,10.8.8.110,840,119.50011014938354
10.8.8.110,93.184.220.29,489,0.15518999099731445
93.184.220.29,10.8.8.110,840,0.1239008903503418
10.8.8.110,93.184.220.29,489,0.9371728897094727
93.184.220.29,10.8.8.110,840,0.939877986907959
