source_ip,destination_ip,packet_size,time_diff
10.8.8.234,216.58.210.14,487,0.0
216.58.210.14,10.8.8.234,831,0.0
10.8.8.234,93.184.220.29,489,0.0
93.184.220.29,10.8.8.234,840,0.0
10.8.8.234,93.184.220.29,489,0.1356949806213379
93.184.220.29,10.8.8.234,840,0.1353151798248291
10.8.8.234,93.184.220.29,489,119.81461310386658
93.184.220.29,10.8.8.234,840,119.81420803070068
10.8.8.234,93.184.220.29,489,0.13461804389953613
93.184.220.29,10.8.8.234,840,0.13302993774414062
10.8.8.234,93.184.220.29,489,1.016657829284668
93.184.220.29,10.8.8.234,840,1.0164568424224854
