source_ip,destination_ip,packet_size,time_diff
10.8.0.10,74.125.226.22,339,0.0
74.125.226.22,10.8.0.10,659,0.0
10.8.0.10,173.194.123.70,489,0.0
173.194.123.70,10.8.0.10,833,0.0
10.8.0.10,173.194.123.70,489,1.858125925064087
173.194.123.70,10.8.0.10,833,1.8551380634307861
10.8.0.10,173.194.123.70,489,0.4243350028991699
173.194.123.70,10.8.0.10,833,0.4249730110168457
10.8.0.10,173.194.123.70,489,0.19852304458618164
173.194.123.70,10.8.0.10,833,0.19774389266967773
10.8.0.10,173.194.123.70,489,0.7720251083374023
173.194.123.70,10.8.0.10,833,0.7719550132751465
10.8.0.10,173.194.123.70,489,0.4689350128173828
173.194.123.70,10.8.0.10,833,0.4699370861053467
