source_ip,destination_ip,packet_size,time_diff
10.8.8.178,93.184.220.29,491,0.0
10.8.8.178,93.184.220.29,491,0.12381887435913086
93.184.220.29,10.8.8.178,840,0.0
93.184.220.29,10.8.8.178,840,0.12088799476623535
10.8.8.178,93.184.220.29,491,3.3364450931549072
93.184.220.29,10.8.8.178,840,3.3362789154052734
10.8.8.178,93.184.220.29,491,116.39608812332153
93.184.220.29,10.8.8.178,840,116.39155602455139
10.8.8.178,93.184.220.29,491,0.13265395164489746
93.184.220.29,10.8.8.178,840,0.1348731517791748
