source_ip,destination_ip,packet_size,time_diff
10.8.0.10,74.125.226.38,1092,0.0
74.125.226.38,10.8.0.10,761,0.0
10.8.0.10,74.125.226.38,1106,0.08130502700805664
74.125.226.38,10.8.0.10,147,0.08217287063598633
10.8.0.10,74.125.226.38,1016,0.061795949935913086
74.125.226.38,10.8.0.10,177,0.061157941818237305
10.8.0.10,173.194.123.18,1151,0.0
173.194.123.18,10.8.0.10,620,0.0
10.8.0.10,173.194.123.18,1094,0.13248085975646973
10.8.0.10,173.194.123.16,1067,0.0
10.8.0.10,173.194.123.16,1061,0.028061866760253906
173.194.123.18,10.8.0.10,233,0.0396580696105957
173.194.123.16,10.8.0.10,120,0.0
10.8.0.10,74.125.226.38,1046,0.22136211395263672
173.194.123.16,10.8.0.10,133,0.027295827865600586
74.125.226.38,10.8.0.10,177,0.2216789722442627
10.8.0.10,173.194.123.4,1086,0.0
10.8.0.10,173.194.123.4,358,0.033918142318725586
173.194.123.4,10.8.0.10,446,0.0
173.194.123.4,10.8.0.10,589,0.05904197692871094
10.8.0.10,173.194.123.18,1180,3.651170015335083
173.194.123.18,10.8.0.10,1025,3.677015781402588
10.8.0.10,173.194.123.18,1140,0.09019207954406738
10.8.0.10,173.194.123.16,1142,3.7143571376800537
173.194.123.18,10.8.0.10,865,0.06311702728271484
173.194.123.16,10.8.0.10,121,3.7141811847686768
10.8.0.10,173.194.123.18,1097,0.0403439998626709
10.8.0.10,173.194.123.16,1163,0.0380709171295166
173.194.123.18,10.8.0.10,231,0.054949045181274414
173.194.123.16,10.8.0.10,1031,0.12465190887451172
10.8.0.10,173.194.123.18,1194,7.096264839172363
173.194.123.18,10.8.0.10,1112,7.113598108291626
10.8.0.10,173.194.123.26,499,0.0
173.194.123.26,10.8.0.10,596,0.0
10.8.0.10,91.189.89.105,277,0.0
91.189.89.105,10.8.0.10,1291,0.0
10.8.0.10,91.189.89.31,278,0.0
10.8.0.10,91.189.89.31,255,0.0001239776611328125
10.8.0.10,91.189.89.106,206,0.0
91.189.89.31,10.8.0.10,457,0.0
91.189.89.31,10.8.0.10,757,0.0028078556060791016
91.189.89.106,10.8.0.10,647,0.0
10.8.0.10,91.189.89.106,249,0.6202371120452881
91.189.89.106,10.8.0.10,513,0.617285966873169
10.8.0.10,91.189.89.105,324,6.111615896224976
91.189.89.105,10.8.0.10,180,7.1531031131744385
10.8.0.10,74.125.226.0,489,0.0
74.125.226.0,10.8.0.10,833,0.0
10.8.0.10,74.125.226.0,489,40.56249499320984
74.125.226.0,10.8.0.10,833,40.56185793876648
10.8.0.10,173.194.123.7,489,0.0
173.194.123.7,10.8.0.10,833,0.0
10.8.0.10,173.194.123.7,489,0.08066105842590332
173.194.123.7,10.8.0.10,833,0.08084702491760254
10.8.0.10,173.194.123.7,489,1.3393139839172363
173.194.123.7,10.8.0.10,833,1.339012861251831
10.8.0.10,173.194.123.7,489,0.4567451477050781
173.194.123.7,10.8.0.10,833,0.4566371440887451
10.8.0.10,173.194.123.7,489,1.1747188568115234
173.194.123.7,10.8.0.10,833,1.175673007965088
10.8.0.10,173.194.123.7,489,0.20448803901672363
173.194.123.7,10.8.0.10,833,0.20348191261291504
10.8.0.10,173.194.123.7,489,0.6422860622406006
173.194.123.7,10.8.0.10,833,0.642888069152832
10.8.0.10,173.194.123.7,489,29.859065055847168
173.194.123.7,10.8.0.10,833,29.85786199569702
