source_ip,destination_ip,packet_size,time_diff
10.8.8.178,91.189.89.240,371,0.0
91.189.89.240,10.8.8.178,961,0.0
10.8.8.178,173.194.67.94,1126,0.0
173.194.67.94,10.8.8.178,579,0.0
10.8.8.178,216.58.210.46,489,0.0
10.8.8.178,216.58.210.46,489,9.584426879882812e-05
216.58.210.46,10.8.8.178,831,0.0
216.58.210.46,10.8.8.178,831,5.3882598876953125e-05
10.8.8.178,216.58.210.46,489,1.228302001953125
216.58.210.46,10.8.8.178,831,1.2282259464263916
10.8.8.178,216.58.210.46,489,0.4175100326538086
216.58.210.46,10.8.8.178,831,0.422029972076416
10.8.8.178,216.58.210.46,489,1.6272790431976318
216.58.210.46,10.8.8.178,831,1.6237070560455322
10.8.8.178,216.58.210.46,489,6.506069898605347
216.58.210.46,10.8.8.178,831,6.6205079555511475
10.8.8.178,216.58.210.46,489,2.392902135848999
216.58.210.46,10.8.8.178,831,2.2782111167907715
