source_ip,dest_ip,packet_size,time_diff
10.8.0.6,213.244.178.253,799,0
213.244.178.253,10.8.0.6,577,0
10.8.0.6,2.20.129.15,464,0
2.20.129.15,10.8.0.6,76,0
10.8.0.6,171.8.167.89,541,0
10.8.0.6,171.8.167.89,542,0.007491000000015902
171.8.167.89,10.8.0.6,313,0
171.8.167.89,10.8.0.6,313,0.015208999999998696
10.8.0.6,171.8.167.89,676,2.5400510000000054
10.8.0.6,171.8.167.89,655,0.41759700000000066
171.8.167.89,10.8.0.6,313,2.9714329999999904
10.8.0.6,119.96.247.19,505,0
10.8.0.6,171.8.167.89,642,0.4007609999999886
10.8.0.6,171.8.167.89,966,0.11346100000000092
171.8.167.89,10.8.0.6,313,0.2576750000000061
10.8.0.6,171.8.167.89,676,0.1224640000000079
119.96.247.19,10.8.0.6,73,0
171.8.167.89,10.8.0.6,313,0.127539999999982
10.8.0.6,119.96.247.19,505,0.3651000000000124
10.8.0.6,171.8.167.89,676,0.09811799999999948
171.8.167.89,10.8.0.6,313,0.12321700000001101
171.8.167.89,10.8.0.6,313,0.14598499999999603
171.8.167.89,10.8.0.6,313,0.08334800000000087
119.96.247.19,10.8.0.6,531,0.6496050000000082
10.8.0.6,192.229.133.187,485,0
10.8.0.6,192.229.133.187,471,3.799999998932435e-05
10.8.0.6,192.229.133.187,515,0.0008830000000159544
192.229.133.187,10.8.0.6,1038,0
192.229.133.187,10.8.0.6,966,0.00031599999999798456
10.8.0.6,163.171.140.206,504,0
163.171.140.206,10.8.0.6,370,0
192.229.133.187,10.8.0.6,1065,0.21669199999999478
10.8.0.6,163.171.140.206,525,0.264331999999996
10.8.0.6,163.171.140.206,524,0.01116500000000542
10.8.0.6,163.171.140.206,525,3.399999999942338e-05
10.8.0.6,163.171.140.206,525,0.0046999999999854936
10.8.0.6,163.171.140.206,525,0.002491000000020449
163.171.140.206,10.8.0.6,170,0.32650300000000243
163.171.140.206,10.8.0.6,932,0.0003140000000030341
163.171.140.206,10.8.0.6,944,0.006934000000001106
163.171.140.206,10.8.0.6,872,0.0026170000000149685
163.171.140.206,10.8.0.6,326,0.10368499999998448
10.8.0.6,202.77.128.77,654,0
10.8.0.6,192.229.133.187,469,1.2401439999999866
10.8.0.6,163.171.140.206,424,0.5515499999999918
163.171.140.206,10.8.0.6,934,0.39062300000000505
10.8.0.6,163.171.140.206,420,0.05260899999998969
163.171.140.206,10.8.0.6,213,0.0579050000000052
202.77.128.77,10.8.0.6,1129,0
192.229.133.187,10.8.0.6,549,1.5264319999999998
10.8.0.6,192.229.133.187,472,1.4060510000000193
192.229.133.187,10.8.0.6,643,0.9029330000000186
10.8.0.6,202.77.129.150,394,0
10.8.0.6,202.77.129.150,964,0.02034299999999689
10.8.0.6,202.77.129.185,221,0
10.8.0.6,202.77.129.166,716,0
202.77.129.150,10.8.0.6,314,0
202.77.129.185,10.8.0.6,330,0
202.77.129.166,10.8.0.6,476,0
202.77.129.150,10.8.0.6,314,0.9798470000000066
10.8.0.6,116.211.94.5,990,0
116.211.94.5,10.8.0.6,1072,0
10.8.0.6,221.179.193.43,581,0
