source_ip,dest_ip,packet_size,time_diff
10.8.0.6,213.244.178.167,775,0
213.244.178.167,10.8.0.6,578,0
10.8.0.6,2.20.129.15,382,0
2.20.129.15,10.8.0.6,324,0
10.8.0.6,140.205.134.25,882,0
140.205.134.25,10.8.0.6,397,0
10.8.0.6,163.171.130.130,388,0
163.171.130.130,10.8.0.6,214,0
10.8.0.6,171.8.167.89,460,0
10.8.0.6,171.8.167.89,461,0.0016410000000064429
171.8.167.89,10.8.0.6,313,0
171.8.167.89,10.8.0.6,313,0.0035100000000056752
10.8.0.6,171.8.167.89,594,1.4320579999999836
10.8.0.6,171.8.167.89,560,0.23778200000000993
171.8.167.89,10.8.0.6,313,1.4474779999999896
171.8.167.89,10.8.0.6,313,0.239972999999992
10.8.0.6,119.96.247.19,437,0
119.96.247.19,10.8.0.6,45,0
10.8.0.6,192.229.133.187,412,0
192.229.133.187,10.8.0.6,549,0
10.8.0.6,192.229.133.187,428,0.4267289999999946
10.8.0.6,192.229.133.187,414,0.000821000000001959
10.8.0.6,192.229.133.187,458,3.6000000022795575e-05
192.229.133.187,10.8.0.6,1112,0.4279239999999902
192.229.133.187,10.8.0.6,1065,0.2198590000000138
192.229.133.187,10.8.0.6,1068,0.006547999999980902
10.8.0.6,163.171.140.206,422,0
163.171.140.206,10.8.0.6,370,0
10.8.0.6,202.77.128.77,663,0
10.8.0.6,163.171.140.206,443,0.5078300000000127
10.8.0.6,163.171.140.206,442,0.012050999999985379
10.8.0.6,163.171.140.206,443,0.004455000000007203
10.8.0.6,163.171.140.206,443,0.010279999999994516
10.8.0.6,163.171.140.206,443,0.022319000000010192
163.171.140.206,10.8.0.6,68,0.5623780000000238
163.171.140.206,10.8.0.6,830,0.0031329999999911706
163.171.140.206,10.8.0.6,1256,0.03178700000000845
163.171.140.206,10.8.0.6,1148,0.020752999999984922
163.171.140.206,10.8.0.6,428,0.004928000000006705
10.8.0.6,192.229.133.187,415,1.9267129999999781
192.229.133.187,10.8.0.6,643,1.6893590000000245
10.8.0.6,163.171.140.206,367,1.6346130000000016
163.171.140.206,10.8.0.6,1138,1.5672040000000038
10.8.0.6,202.77.129.185,661,0
202.77.129.185,10.8.0.6,330,0
10.8.0.6,163.171.140.206,363,0.8975819999999999
163.171.140.206,10.8.0.6,213,0.8974340000000041
10.8.0.6,116.211.94.5,255,0
116.211.94.5,10.8.0.6,1071,0
10.8.0.6,221.179.193.43,718,0
202.77.128.77,10.8.0.6,141,0
221.179.193.43,10.8.0.6,440,0
10.8.0.6,36.51.254.228,484,0
36.51.254.228,10.8.0.6,581,0
10.8.0.6,47.246.16.234,226,0
47.246.16.234,10.8.0.6,201,0
10.8.0.6,35.157.125.133,1227,0
35.157.125.133,10.8.0.6,346,0
10.8.0.6,216.18.168.122,1144,0
216.18.168.122,10.8.0.6,666,0
10.8.0.6,216.58.212.238,231,0
216.58.212.238,10.8.0.6,135,0
10.8.0.6,109.71.161.139,696,0
109.71.161.139,10.8.0.6,620,0
10.8.0.6,92.122.253.192,579,0
92.122.253.192,10.8.0.6,561,0
10.8.0.6,151.101.128.194,458,0
151.101.128.194,10.8.0.6,840,0
10.8.0.6,151.101.64.194,543,0
151.101.64.194,10.8.0.6,861,0
10.8.0.6,47.246.16.234,712,934.2951909999999
47.246.16.234,10.8.0.6,60,934.292076
10.8.0.6,213.244.178.240,413,0
213.244.178.240,10.8.0.6,814,0
10.8.0.6,213.244.178.240,603,0.006386999999904219
213.244.178.240,10.8.0.6,1302,0.025174999999990177
10.8.0.6,213.244.178.240,350,0.6259990000000926
213.244.178.240,10.8.0.6,234,0.6067760000000817
10.8.0.6,213.244.178.240,516,0.12433299999997871
213.244.178.240,10.8.0.6,1091,0.12491900000009082
10.8.0.6,47.246.15.248,448,0
10.8.0.6,213.244.178.240,529,0.32679800000005343
213.244.178.240,10.8.0.6,1034,0.36207599999988815
47.246.15.248,10.8.0.6,675,0
10.8.0.6,213.244.178.240,399,0.13240299999984018
10.8.0.6,213.244.178.240,363,0.0027959999999893625
213.244.178.240,10.8.0.6,1229,0.09958899999992354
213.244.178.240,10.8.0.6,805,3.300000003036985e-05
10.8.0.6,106.11.250.82,1078,0
106.11.250.82,10.8.0.6,447,0
10.8.0.6,213.244.178.250,247,0
213.244.178.250,10.8.0.6,637,0
10.8.0.6,213.244.178.240,359,1.0165880000001835
213.244.178.240,10.8.0.6,812,1.016112000000021
10.8.0.6,185.88.180.99,774,0
185.88.180.99,10.8.0.6,1004,0
10.8.0.6,185.88.180.100,250,0
185.88.180.100,10.8.0.6,405,0
10.8.0.6,216.18.168.122,1216,962.078491
216.18.168.122,10.8.0.6,627,962.086556
10.8.0.6,216.18.168.122,804,0.31928900000002614
10.8.0.6,64.210.135.68,844,0
10.8.0.6,64.210.135.68,824,0.002881999999999607
10.8.0.6,216.18.168.122,792,0.017723000000160027
10.8.0.6,216.18.168.122,797,0.0020179999999072606
10.8.0.6,64.210.135.68,816,0.009189000000105807
10.8.0.6,64.210.135.68,827,0.017681000000038694
10.8.0.6,64.210.135.68,818,0.05913199999986318
10.8.0.6,64.210.135.68,817,0.00021300000003066089
64.210.135.68,10.8.0.6,1028,0
64.210.135.68,10.8.0.6,1064,0.0003019999999196443
216.18.168.122,10.8.0.6,970,0.21090400000002774
64.210.135.68,10.8.0.6,1075,0.04503599999998187
10.8.0.6,64.210.135.68,823,0.05404100000009748
64.210.135.68,10.8.0.6,1027,0.008825999999999112
64.210.135.68,10.8.0.6,888,0.022191000000020722
64.210.135.68,10.8.0.6,910,0.006163000000015018
64.210.135.68,10.8.0.6,419,0.014274999999997817
216.18.168.122,10.8.0.6,1295,0.2375440000000708
216.18.168.122,10.8.0.6,136,0.020378999999820735
10.8.0.6,64.210.135.68,833,0.22308499999985543
64.210.135.68,10.8.0.6,788,0.18072000000006483
10.8.0.6,216.18.168.122,238,0.8844790000000557
216.18.168.122,10.8.0.6,316,0.7444020000000364
10.8.0.6,216.18.168.122,425,0.4345909999999549
216.18.168.122,10.8.0.6,661,0.43782099999998536
10.8.0.6,216.18.168.122,426,0.23451000000000022
10.8.0.6,216.18.168.122,784,0.01040999999986525
10.8.0.6,216.18.168.122,410,0.007461000000148488
216.18.168.122,10.8.0.6,267,0.1358510000000024
10.8.0.6,216.18.168.122,815,0.1654839999998785
216.18.168.122,10.8.0.6,1131,0.10576600000013059
216.18.168.122,10.8.0.6,159,0.16733499999986634
216.18.168.122,10.8.0.6,352,0.23550199999999677
10.8.0.6,216.18.168.122,825,0.8151100000000042
216.18.168.122,10.8.0.6,1051,0.570372000000134
10.8.0.6,216.18.168.122,825,0.2424750000000131
216.18.168.122,10.8.0.6,157,0.26794699999982186
10.8.0.6,216.18.168.122,827,0.7394810000000689
216.18.168.122,10.8.0.6,1194,0.7731830000000173
10.8.0.6,216.18.168.122,829,0.8525600000000395
216.18.168.122,10.8.0.6,888,0.8245229999999992
10.8.0.6,216.18.168.122,829,0.38515400000005684
216.18.168.122,10.8.0.6,154,0.4190200000000459
10.8.0.6,216.18.168.122,829,0.3737269999999171
216.18.168.122,10.8.0.6,1194,0.39237500000012915
10.8.0.6,216.18.168.122,829,0.41265999999995984
216.18.168.122,10.8.0.6,1296,0.4167009999998754
10.8.0.6,216.18.168.122,829,0.5519759999999678
216.18.168.122,10.8.0.6,507,0.5377710000000206
10.8.0.6,216.18.168.122,829,1.0764240000000882
216.18.168.122,10.8.0.6,1194,1.1405010000000857
10.8.0.6,216.18.168.122,829,0.7057350000000042
216.18.168.122,10.8.0.6,609,0.682064999999966
10.8.0.6,216.18.168.122,829,0.40877099999988786
216.18.168.122,10.8.0.6,744,0.5796179999999822
10.8.0.6,216.18.168.122,829,0.6642420000000584
216.18.168.122,10.8.0.6,1080,1.2380229999998846
10.8.0.6,216.18.168.122,829,1.1075530000000526
216.18.168.122,10.8.0.6,1284,0.9604930000000422
10.8.0.6,216.18.168.122,829,0.9756740000000264
216.18.168.122,10.8.0.6,1326,1.597927000000027
10.8.0.6,216.18.168.122,829,1.8881709999998293
216.18.168.122,10.8.0.6,300,0.7081210000001192
10.8.0.6,52.19.7.173,396,0
52.19.7.173,10.8.0.6,503,0
10.8.0.6,92.122.255.102,355,0
92.122.255.102,10.8.0.6,510,0
10.8.0.6,52.51.131.19,642,0
52.51.131.19,10.8.0.6,1121,0
10.8.0.6,66.117.29.227,976,0
66.117.29.227,10.8.0.6,574,0
10.8.0.6,66.117.28.86,382,0
66.117.28.86,10.8.0.6,54,0
10.8.0.6,66.117.29.3,1056,0
66.117.29.3,10.8.0.6,550,0
10.8.0.6,52.19.7.173,215,8.182622999999921
52.19.7.173,10.8.0.6,503,8.05590600000005
10.8.0.6,139.104.72.27,135,0
139.104.72.27,10.8.0.6,758,0
10.8.0.6,66.117.29.3,1255,7.164786000000049
66.117.29.3,10.8.0.6,502,7.1646619999999075
10.8.0.6,139.104.72.27,150,9.933184999999867
139.104.72.27,10.8.0.6,482,9.933186000000205
10.8.0.6,52.85.255.81,421,0
52.85.255.81,10.8.0.6,57,0
10.8.0.6,52.85.255.81,429,2.3701529999998456
52.85.255.81,10.8.0.6,57,2.3702240000000074
10.8.0.6,52.85.255.81,444,0.2332049999999981
52.85.255.81,10.8.0.6,63,0.2351330000001326
10.8.0.6,52.85.255.81,433,0.5168880000001081
52.85.255.81,10.8.0.6,1136,0.5492759999999635
10.8.0.6,52.85.255.81,518,0.3256850000000213
10.8.0.6,92.122.253.201,405,0
52.85.255.81,10.8.0.6,57,0.29146799999989526
92.122.253.201,10.8.0.6,243,0
10.8.0.6,66.117.29.227,1304,18.166247999999996
66.117.29.227,10.8.0.6,642,18.17580399999997
10.8.0.6,92.122.255.102,624,20.509726
10.8.0.6,92.122.255.102,532,0.03612399999997251
92.122.255.102,10.8.0.6,155,20.54660100000001
92.122.255.102,10.8.0.6,472,0.0069019999998545245
10.8.0.6,92.122.255.102,673,2.1345850000000155
92.122.255.102,10.8.0.6,982,2.156663000000208
10.8.0.6,92.122.253.201,412,3.904011999999966
92.122.253.201,10.8.0.6,1304,4.051320999999916
10.8.0.6,50.31.142.19,568,0
50.31.142.19,10.8.0.6,351,0
10.8.0.6,198.134.112.244,625,0
198.134.112.244,10.8.0.6,57,0
10.8.0.6,23.111.224.1,430,0
23.111.224.1,10.8.0.6,92,0
10.8.0.6,198.134.112.244,238,0.6292929999999615
10.8.0.6,198.134.112.244,483,0.05709100000012768
198.134.112.244,10.8.0.6,323,0.6099699999999757
198.134.112.244,10.8.0.6,1047,0.25238800000010997
10.8.0.6,35.241.17.50,687,0
35.241.17.50,10.8.0.6,830,0
10.8.0.6,35.241.17.50,668,0.4000029999999697
35.241.17.50,10.8.0.6,525,0.40016399999990426
10.8.0.6,35.241.17.50,672,0.011884999999892898
10.8.0.6,35.241.17.50,669,0.003150000000005093
35.241.17.50,10.8.0.6,561,0.016048000000182583
10.8.0.6,35.241.17.50,668,0.007246000000122876
35.241.17.50,10.8.0.6,891,0.018559999999979482
10.8.0.6,35.241.17.50,664,0.03065799999990304
10.8.0.6,35.241.17.50,672,3.80000001314329e-05
10.8.0.6,35.241.17.50,667,0.0005759999999099819
35.241.17.50,10.8.0.6,203,0.017691999999897234
10.8.0.6,35.241.17.50,673,0.009039000000029773
10.8.0.6,35.241.17.50,674,0.00040500000000065484
35.241.17.50,10.8.0.6,367,0.00938799999994444
35.241.17.50,10.8.0.6,395,0.000490000000127111
35.241.17.50,10.8.0.6,1312,0.013083999999935259
10.8.0.6,35.241.17.50,669,0.020586999999977706
35.241.17.50,10.8.0.6,349,0.00755299999991621
35.241.17.50,10.8.0.6,194,0.00029600000016216654
10.8.0.6,35.241.17.50,667,0.011095000000068467
10.8.0.6,35.241.17.50,664,0.0019640000000435975
10.8.0.6,35.241.17.50,664,0.00011199999994460086
10.8.0.6,35.241.17.50,664,0.0020400000000790897
10.8.0.6,35.241.17.50,664,6.69999999445281e-05
35.241.17.50,10.8.0.6,331,0.010637999999971726
35.241.17.50,10.8.0.6,491,0.0007699999998749263
35.241.17.50,10.8.0.6,1370,0.001318000000082975
35.241.17.50,10.8.0.6,1071,0.0003309999999601132
35.241.17.50,10.8.0.6,1397,0.0017290000000684813
35.241.17.50,10.8.0.6,540,2.599999993435631e-05
10.8.0.6,35.241.17.50,664,0.015603999999939333
10.8.0.6,35.241.17.50,664,0.0003600000000005821
10.8.0.6,35.241.17.50,661,4.500000000007276e-05
10.8.0.6,35.241.17.50,661,3.799999990405922e-05
35.241.17.50,10.8.0.6,1298,0.015783999999939624
35.241.17.50,10.8.0.6,1264,0.0001560000000608852
35.241.17.50,10.8.0.6,1177,9.700000009615906e-05
35.241.17.50,10.8.0.6,491,0.00012300000003051537
10.8.0.6,172.217.17.42,660,0
172.217.17.42,10.8.0.6,1032,0
10.8.0.6,35.241.17.50,723,0.13609000000019478
10.8.0.6,35.241.17.50,724,0.002813999999943917
35.241.17.50,10.8.0.6,54,0.1380429999999251
35.241.17.50,10.8.0.6,1136,0.00451799999996183
10.8.0.6,35.241.17.50,409,0.6131629999999859
35.241.17.50,10.8.0.6,530,0.6095090000001164
10.8.0.6,35.241.17.50,263,0.5353600000000824
35.241.17.50,10.8.0.6,1333,0.5351670000000013
10.8.0.6,52.51.19.158,400,0
52.51.19.158,10.8.0.6,57,0
10.8.0.6,52.51.19.158,364,0.29171900000005735
52.51.19.158,10.8.0.6,674,0.29160799999999654
10.8.0.6,172.217.17.34,362,0
172.217.17.34,10.8.0.6,435,0
10.8.0.6,52.51.19.158,375,0.3855550000000676
52.51.19.158,10.8.0.6,1102,0.4133679999999913
10.8.0.6,52.51.19.158,240,0.7405189999999493
52.51.19.158,10.8.0.6,288,0.7123890000000301
10.8.0.6,216.58.212.131,608,0
216.58.212.131,10.8.0.6,503,0
10.8.0.6,216.58.212.131,581,0.18824900000004163
216.58.212.131,10.8.0.6,1288,0.1966660000000502
10.8.0.6,216.58.212.131,581,0.06968400000005204
216.58.212.131,10.8.0.6,503,0.0557490000001053
10.8.0.6,216.58.212.131,237,0.09693500000003041
216.58.212.131,10.8.0.6,593,0.09180799999990086
10.8.0.6,93.184.220.29,515,0
93.184.220.29,10.8.0.6,840,0
10.8.0.6,93.184.220.29,515,20.387699999999995
93.184.220.29,10.8.0.6,840,20.403016999999863
10.8.0.6,93.184.220.29,515,14.962624000000005
93.184.220.29,10.8.0.6,840,14.947628000000122
10.8.0.6,217.20.155.16,425,0
217.20.155.16,10.8.0.6,254,0
10.8.0.6,172.217.17.110,605,0
172.217.17.110,10.8.0.6,592,0
10.8.0.6,172.217.17.36,609,0
172.217.17.36,10.8.0.6,649,0
10.8.0.6,104.20.19.254,378,0
104.20.19.254,10.8.0.6,1153,0
10.8.0.6,104.20.19.254,496,1.1399320000000444
10.8.0.6,104.20.19.254,465,0.0005219999998189451
10.8.0.6,104.20.19.254,456,0.0005210000001625303
10.8.0.6,104.20.19.254,449,0.0023979999998573476
104.20.19.254,10.8.0.6,45,1.0100130000000718
104.20.19.254,10.8.0.6,45,0.00012500000002546585
104.20.19.254,10.8.0.6,997,0.008699999999862484
104.20.19.254,10.8.0.6,790,0.004177000000026965
10.8.0.6,104.20.19.254,457,0.03611700000010387
10.8.0.6,104.20.19.254,439,4.500000000007276e-05
10.8.0.6,104.20.19.254,455,9.899999986373587e-05
104.20.19.254,10.8.0.6,1313,0.025795000000016444
104.20.19.254,10.8.0.6,1199,0.002089999999952852
104.20.19.254,10.8.0.6,716,0.0004249999999501597
10.8.0.6,104.20.19.254,452,0.03207199999997101
10.8.0.6,104.20.19.254,450,0.000293000000056054
10.8.0.6,104.20.19.254,448,0.00017400000001543958
104.20.19.254,10.8.0.6,1351,0.02816900000016176
104.20.19.254,10.8.0.6,105,0.0010259999999107094
10.8.0.6,104.20.19.254,446,0.00895700000000943
10.8.0.6,104.20.19.254,442,0.0011529999999311258
10.8.0.6,104.20.19.254,444,0.0006230000001323788
104.20.19.254,10.8.0.6,337,0.006104000000050291
104.20.19.254,10.8.0.6,1323,0.004533999999921434
10.8.0.6,104.20.19.254,452,0.009055999999873166
104.20.19.254,10.8.0.6,1012,0.002188000000160173
10.8.0.6,104.20.19.254,437,0.0015640000001440058
104.20.19.254,10.8.0.6,722,0.004147999999986496
10.8.0.6,104.20.19.254,437,0.0092099999999391
104.20.19.254,10.8.0.6,95,0.006123999999999796
10.8.0.6,104.20.19.254,449,0.01230800000007548
104.20.19.254,10.8.0.6,542,0.020095999999966807
104.20.19.254,10.8.0.6,647,0.006961000000046624
10.8.0.6,104.20.19.254,466,0.01932899999997062
10.8.0.6,104.20.19.254,444,0.002970000000004802
104.20.19.254,10.8.0.6,45,0.01301699999999073
104.20.19.254,10.8.0.6,1195,0.0035009999999147112
10.8.0.6,104.20.19.254,440,0.013566999999966356
104.20.19.254,10.8.0.6,1202,0.0048620000000028085
104.20.19.254,10.8.0.6,123,0.009800999999924898
10.8.0.6,104.20.19.254,455,0.01840900000001966
10.8.0.6,104.20.19.254,474,0.0027499999998781277
104.20.19.254,10.8.0.6,1031,0.0156289999999899
10.8.0.6,104.20.19.254,490,0.006851000000096974
10.8.0.6,192.229.133.150,537,0
10.8.0.6,92.122.255.98,346,0
10.8.0.6,104.20.19.254,459,0.009786000000076456
10.8.0.6,104.20.19.254,456,0.0008960000000115542
104.20.19.254,10.8.0.6,792,0.019279999999980646
104.20.19.254,10.8.0.6,1368,0.006530999999995402
10.8.0.6,104.20.19.254,456,0.05512999999996282
104.20.19.254,10.8.0.6,1188,0.04994299999998475
104.20.19.254,10.8.0.6,1269,0.029068000000052052
92.122.255.98,10.8.0.6,1226,0
104.20.19.254,10.8.0.6,387,0.1698820000001433
192.229.133.150,10.8.0.6,600,0
10.8.0.6,104.20.19.254,488,1.5755779999999504
104.20.19.254,10.8.0.6,1119,1.3787489999999707
10.8.0.6,104.20.19.254,482,0.045511000000033164
104.20.19.254,10.8.0.6,757,0.04277899999988222
10.8.0.6,104.20.19.254,479,0.05374400000005153
10.8.0.6,104.20.19.254,487,0.00017099999990932702
10.8.0.6,104.20.19.254,488,9.999999997489795e-05
104.20.19.254,10.8.0.6,651,0.05404100000009748
104.20.19.254,10.8.0.6,115,4.500000000007276e-05
10.8.0.6,104.20.19.254,477,0.010979000000133965
10.8.0.6,104.20.19.254,482,0.0037739999997938867
10.8.0.6,104.20.19.254,491,0.001159000000143351
104.20.19.254,10.8.0.6,1256,0.015026999999918189
104.20.19.254,10.8.0.6,1373,0.0005510000000867876
104.20.19.254,10.8.0.6,1348,0.0009459999998853164
10.8.0.6,104.20.19.254,484,0.022031999999853724
104.20.19.254,10.8.0.6,1258,0.017929000000094675
10.8.0.6,104.20.19.254,480,0.005029000000149608
104.20.19.254,10.8.0.6,428,0.0046910000000934815
104.20.19.254,10.8.0.6,418,0.006633999999849038
10.8.0.6,104.20.19.254,481,0.033173999999917214
10.8.0.6,104.20.19.254,493,0.0016080000000329164
10.8.0.6,104.20.19.254,477,0.00026000000002568413
10.8.0.6,104.20.19.254,478,0.00607199999990371
10.8.0.6,104.20.19.254,477,3.600000013648241e-05
104.20.19.254,10.8.0.6,1088,0.03177600000003622
104.20.19.254,10.8.0.6,1092,0.0006619999999202264
10.8.0.6,104.20.19.254,476,0.0019879999999830034
10.8.0.6,104.20.19.254,476,0.004111999999850013
10.8.0.6,104.20.19.254,478,0.0009220000001732842
104.20.19.254,10.8.0.6,441,0.006288000000040483
104.20.19.254,10.8.0.6,1045,0.0008960000000115542
104.20.19.254,10.8.0.6,237,0.000371999999970285
104.20.19.254,10.8.0.6,858,0.0007120000000213622
10.8.0.6,104.20.19.254,476,0.006715999999869382
10.8.0.6,104.20.19.254,480,0.0025410000000647415
104.20.19.254,10.8.0.6,890,0.006890999999995984
10.8.0.6,104.20.19.254,487,0.0018370000000231812
10.8.0.6,104.20.19.254,485,3.399999991415825e-05
104.20.19.254,10.8.0.6,251,0.005472000000054322
10.8.0.6,104.20.19.254,486,0.00436600000011822
104.20.19.254,10.8.0.6,1002,0.0017170000000987784
104.20.19.254,10.8.0.6,666,0.0012809999998353305
104.20.19.254,10.8.0.6,660,0.001903000000083921
10.8.0.6,104.20.19.254,489,0.0059739999999237625
10.8.0.6,104.20.19.254,479,0.0008520000001226435
104.20.19.254,10.8.0.6,638,0.002338000000008833
104.20.19.254,10.8.0.6,845,0.0008889999999155407
10.8.0.6,104.20.19.254,482,0.001198999999814987
10.8.0.6,104.20.19.254,490,0.0033020000000760774
104.20.19.254,10.8.0.6,824,0.0051510000000689615
104.20.19.254,10.8.0.6,885,0.0010219999999208085
104.20.19.254,10.8.0.6,610,0.0006829999999808933
10.8.0.6,104.20.19.254,490,0.006047999999964304
10.8.0.6,104.20.19.254,482,9.599999998499698e-05
104.20.19.254,10.8.0.6,664,0.004521000000067943
10.8.0.6,104.20.19.254,484,0.008340000000089276
104.20.19.254,10.8.0.6,655,0.006511000000045897
104.20.19.254,10.8.0.6,304,0.000473000000056345
104.20.19.254,10.8.0.6,815,0.007440999999971609
10.8.0.6,104.20.19.254,235,12.457225999999991
104.20.19.254,10.8.0.6,45,12.457701000000043
10.8.0.6,104.20.19.254,589,0.7878020000000561
104.20.19.254,10.8.0.6,101,0.8849549999999908
10.8.0.6,92.122.255.98,462,16.02232200000003
92.122.255.98,10.8.0.6,961,15.960268000000042
10.8.0.6,92.122.255.98,378,0.46487699999988763
10.8.0.6,92.122.255.98,797,0.0025290000000950386
92.122.255.98,10.8.0.6,450,0.5377220000000307
92.122.255.98,10.8.0.6,808,0.04095299999994495
10.8.0.6,92.122.255.98,422,1.3065509999998994
92.122.255.98,10.8.0.6,1122,1.1607520000000022
10.8.0.6,92.122.255.98,424,0.011770999999953347
92.122.255.98,10.8.0.6,139,0.04919700000004923
10.8.0.6,92.122.255.98,907,3.357056000000057
92.122.255.98,10.8.0.6,322,3.413579000000027
10.8.0.6,213.244.178.240,387,814.0618610000001
10.8.0.6,213.244.178.240,387,0.0012069999997947889
10.8.0.6,213.244.178.240,387,4.799999987881165e-05
10.8.0.6,213.244.178.240,387,0.0009660000000621949
213.244.178.240,10.8.0.6,208,814.1604710000001
213.244.178.240,10.8.0.6,275,0.08112600000004022
213.244.178.240,10.8.0.6,88,0.08906999999999243
10.8.0.6,115.231.145.222,359,0
213.244.178.240,10.8.0.6,158,0.07705699999996796
10.8.0.6,42.121.252.58,387,0
42.121.252.58,10.8.0.6,432,0
10.8.0.6,23.34.181.231,515,0
23.34.181.231,10.8.0.6,1033,0
10.8.0.6,23.34.181.231,514,5.802118000000064
23.34.181.231,10.8.0.6,941,5.8866680000001
10.8.0.6,23.34.181.231,514,4.93004400000018
23.34.181.231,10.8.0.6,1033,4.845535999999811
