source_ip,dest_ip,packet_size,time_diff
10.8.0.6,216.58.212.238,231,0
216.58.212.238,10.8.0.6,135,0
10.8.0.6,213.244.178.254,505,0
213.244.178.254,10.8.0.6,617,0
10.8.0.6,213.244.178.254,508,1.1719870000000014
213.244.178.254,10.8.0.6,578,1.1720829999999864
10.8.0.6,36.110.213.49,489,0
36.110.213.49,10.8.0.6,402,0
10.8.0.6,36.110.213.49,488,0.9064520000000016
36.110.213.49,10.8.0.6,571,0.9362629999999967
10.8.0.6,216.137.59.242,482,0
216.137.59.242,10.8.0.6,1174,0
10.8.0.6,54.230.14.105,478,0
10.8.0.6,54.230.14.105,478,0.0007320000000277105
54.230.14.105,10.8.0.6,876,0
54.230.14.105,10.8.0.6,346,0.027139000000033775
10.8.0.6,54.230.14.169,458,0
10.8.0.6,54.230.14.202,464,0
10.8.0.6,54.230.14.56,445,0
10.8.0.6,54.230.14.67,460,0
54.230.14.169,10.8.0.6,652,0
54.230.14.56,10.8.0.6,57,0
54.230.14.67,10.8.0.6,399,0
54.230.14.202,10.8.0.6,1346,0
10.8.0.6,54.230.14.63,478,0
10.8.0.6,54.230.14.63,478,0.00017500000001291482
10.8.0.6,54.230.14.63,478,0.00028199999997013947
54.230.14.63,10.8.0.6,867,0
54.230.14.63,10.8.0.6,765,0.00031100000001060835
54.230.14.63,10.8.0.6,896,0.00045800000003737296
10.8.0.6,54.230.14.105,478,0.1295149999999694
54.230.14.105,10.8.0.6,1057,0.10264399999999796
10.8.0.6,54.230.14.63,479,0.11905300000000807
54.230.14.63,10.8.0.6,1291,0.1310579999999959
10.8.0.6,54.230.14.63,478,0.020858999999973094
10.8.0.6,54.230.14.63,478,0.002021000000013373
10.8.0.6,54.230.14.63,478,3.500000002532033e-05
10.8.0.6,54.230.14.63,478,0.001017999999987751
54.230.14.63,10.8.0.6,522,0.009005000000001928
54.230.14.63,10.8.0.6,1070,0.0010519999999587526
54.230.14.63,10.8.0.6,1188,0.001098000000013144
10.8.0.6,54.230.14.31,478,0
10.8.0.6,54.230.14.31,488,0.005629999999996471
10.8.0.6,54.230.14.63,485,0.0937099999999873
10.8.0.6,54.230.14.63,478,0.0013040000000046348
10.8.0.6,54.230.14.63,478,0.00037500000001955414
54.230.14.31,10.8.0.6,672,0
54.230.14.63,10.8.0.6,252,0.0967939999999885
54.230.14.31,10.8.0.6,168,0.008128999999996722
54.230.14.63,10.8.0.6,345,0.02985700000004954
54.230.14.63,10.8.0.6,912,0.008884999999963838
10.8.0.6,54.230.14.105,478,0.25573300000002064
10.8.0.6,54.230.14.105,478,0.0002920000000017353
54.230.14.105,10.8.0.6,510,0.2563119999999799
54.230.14.105,10.8.0.6,788,0.002322999999989861
10.8.0.6,54.230.14.63,478,0.09223499999995965
10.8.0.6,54.230.14.63,478,0.00024400000000923683
10.8.0.6,54.230.14.63,478,0.00012300000003051537
54.230.14.63,10.8.0.6,1029,0.05095000000000027
54.230.14.63,10.8.0.6,714,0.0009289999999850806
54.230.14.63,10.8.0.6,402,0.024170000000026448
10.8.0.6,54.230.14.63,478,0.039291999999989
54.230.14.63,10.8.0.6,809,0.0257389999999873
10.8.0.6,54.230.14.63,478,0.030568000000016582
54.230.14.63,10.8.0.6,1048,0.019746999999995296
10.8.0.6,54.230.14.63,478,0.014791000000002441
54.230.14.63,10.8.0.6,216,0.01645700000000261
10.8.0.6,36.110.213.49,659,1.288483000000042
54.230.14.63,10.8.0.6,471,0.1301220000000285
10.8.0.6,54.230.14.105,478,0.31034199999999146
10.8.0.6,54.230.14.63,478,0.19614400000000387
10.8.0.6,54.230.14.63,478,7.099999999127249e-05
54.230.14.63,10.8.0.6,1388,0.06993399999998928
54.230.14.63,10.8.0.6,556,0.006021999999973104
54.230.14.105,10.8.0.6,1258,0.3320030000000429
36.110.213.49,10.8.0.6,1255,1.2885630000000106
10.8.0.6,54.230.14.63,492,0.33407099999999446
10.8.0.6,54.230.14.105,491,0.3363209999999981
54.230.14.63,10.8.0.6,212,0.3245909999999981
10.8.0.6,54.230.14.63,491,0.01408499999996593
10.8.0.6,54.230.14.105,491,0.014053999999987354
10.8.0.6,54.230.14.105,491,0.00034800000003087916
10.8.0.6,54.230.14.63,492,0.000454000000047472
54.230.14.105,10.8.0.6,145,0.3244070000000079
10.8.0.6,54.230.14.19,505,0
10.8.0.6,54.230.14.19,491,0.0005170000000020991
10.8.0.6,54.230.14.19,491,0.00011899999998377098
54.230.14.63,10.8.0.6,412,0.024210000000039145
54.230.14.63,10.8.0.6,73,0.001783999999986463
54.230.14.105,10.8.0.6,1351,0.018352999999990516
54.230.14.105,10.8.0.6,990,0.00020299999999906504
54.230.14.19,10.8.0.6,1010,0
54.230.14.19,10.8.0.6,710,0.00041199999998298154
54.230.14.19,10.8.0.6,172,0.0036479999999983193
10.8.0.6,54.230.14.19,492,0.08114499999999225
54.230.14.19,10.8.0.6,659,0.0664380000000051
10.8.0.6,54.230.14.19,492,0.1251280000000179
10.8.0.6,54.230.14.19,492,0.00046299999996790575
10.8.0.6,54.230.14.19,492,0.0014140000000111286
54.230.14.19,10.8.0.6,921,0.12580000000002656
54.230.14.19,10.8.0.6,1398,0.0011460000000056425
10.8.0.6,54.230.14.105,492,0.26430799999997134
10.8.0.6,54.230.14.105,492,0.00036599999998543353
10.8.0.6,54.230.14.105,492,0.00021000000003823516
54.230.14.105,10.8.0.6,411,0.25337899999999536
54.230.14.105,10.8.0.6,971,0.0026149999999915963
10.8.0.6,54.230.14.105,491,0.05084399999998368
54.230.14.105,10.8.0.6,155,0.05423000000001821
10.8.0.6,54.230.14.105,491,0.11203100000000177
10.8.0.6,54.230.14.105,491,0.000597999999968124
10.8.0.6,54.230.14.105,491,0.0004450000000133514
54.230.14.105,10.8.0.6,226,0.11237199999999348
54.230.14.19,10.8.0.6,604,0.21451399999995147
54.230.14.105,10.8.0.6,138,0.036576999999965665
10.8.0.6,54.230.14.31,492,1.2144660000000158
10.8.0.6,54.230.14.31,492,0.00010299999996732367
10.8.0.6,54.230.14.31,492,4.7000000051866664e-05
10.8.0.6,54.230.14.31,492,0.00011399999999639476
10.8.0.6,54.230.14.31,492,3.1999999976051186e-05
10.8.0.6,54.230.14.31,492,6.999999999379725e-05
54.230.14.105,10.8.0.6,420,0.009605000000021846
54.230.14.31,10.8.0.6,343,1.2063140000000203
54.230.14.105,10.8.0.6,988,0.009244000000023789
54.230.14.31,10.8.0.6,836,0.007168999999976222
54.230.14.31,10.8.0.6,94,0.0019730000000208747
54.230.14.31,10.8.0.6,444,0.003187999999965996
54.230.14.31,10.8.0.6,545,0.00011200000000144428
10.8.0.6,54.230.14.31,492,0.036942000000010466
54.230.14.31,10.8.0.6,924,0.03909400000003416
10.8.0.6,54.230.14.31,491,0.06479400000000624
54.230.14.31,10.8.0.6,608,0.06592699999998786
54.230.14.31,10.8.0.6,572,0.10387500000001637
10.8.0.6,180.163.237.195,622,0
180.163.237.195,10.8.0.6,596,0
10.8.0.6,54.230.14.105,512,0.9316350000000284
10.8.0.6,54.230.14.105,512,6.300000001147055e-05
10.8.0.6,54.230.14.105,512,0.0005459999999857246
10.8.0.6,54.230.14.105,512,0.00022000000001298758
10.8.0.6,54.230.14.105,512,0.00020799999998644125
10.8.0.6,54.230.14.105,512,0.00021799999996119368
10.8.0.6,163.171.140.206,505,0
10.8.0.6,163.171.140.206,526,5.400000003419336e-05
54.230.14.105,10.8.0.6,1229,1.1959799999999632
54.230.14.105,10.8.0.6,67,0.00292699999999968
54.230.14.105,10.8.0.6,946,0.003970000000037999
10.8.0.6,54.230.14.105,519,0.34552200000001676
54.230.14.105,10.8.0.6,202,0.002746999999999389
10.8.0.6,54.230.14.105,517,0.006064000000037595
10.8.0.6,54.230.14.105,518,0.011376999999981763
10.8.0.6,54.230.14.105,516,0.007037999999965905
10.8.0.6,112.64.200.104,533,0
54.230.14.105,10.8.0.6,1294,0.06833199999999806
10.8.0.6,54.230.14.105,519,0.050040000000024065
54.230.14.105,10.8.0.6,328,0.10945199999997612
10.8.0.6,54.230.14.105,515,0.10963500000002568
163.171.140.206,10.8.0.6,206,0
54.230.14.105,10.8.0.6,338,0.019455999999991036
10.8.0.6,54.230.14.105,514,0.024283999999966
163.171.140.206,10.8.0.6,761,0.07073800000000574
54.230.14.105,10.8.0.6,1382,0.09616299999999
10.8.0.6,54.230.14.105,519,0.09710899999998901
54.230.14.105,10.8.0.6,392,0.07382799999999179
10.8.0.6,54.230.14.105,516,0.07100200000002133
54.230.14.105,10.8.0.6,1109,0.05876600000004828
112.64.200.104,10.8.0.6,1398,0
112.64.200.104,10.8.0.6,1398,3.2000000032894604e-05
112.64.200.104,10.8.0.6,1249,1.9999999949504854e-06
54.230.14.105,10.8.0.6,337,0.1268859999999563
54.230.14.105,10.8.0.6,958,0.10014300000000276
54.230.14.105,10.8.0.6,388,0.337963000000002
54.230.14.105,10.8.0.6,1017,0.004631000000017593
54.230.14.105,10.8.0.6,246,4.5371319999999855
10.8.0.6,180.163.237.195,549,6.410224000000028
180.163.237.195,10.8.0.6,87,6.470762999999977
10.8.0.6,221.179.193.43,527,0
221.179.193.43,10.8.0.6,1295,0
10.8.0.6,36.51.254.236,969,0
36.51.254.236,10.8.0.6,665,0
10.8.0.6,49.7.36.58,860,0
49.7.36.58,10.8.0.6,388,0
10.8.0.6,36.51.254.228,491,0
