source_ip,dest_ip,packet_size,time_diff
10.8.0.6,8.37.239.129,626,0
8.37.239.129,10.8.0.6,259,0
10.8.0.6,157.185.128.201,950,0
10.8.0.6,157.185.129.50,742,0
10.8.0.6,157.185.129.50,742,0.0060450000000003
157.185.128.201,10.8.0.6,756,0
157.185.129.50,10.8.0.6,1201,0
157.185.129.50,10.8.0.6,1203,0.00879899999999978
10.8.0.6,157.185.128.201,950,0.33243699999999876
157.185.128.201,10.8.0.6,754,0.3323880000000017
10.8.0.6,157.185.188.1,521,0
10.8.0.6,23.56.186.184,212,0
23.56.186.184,10.8.0.6,1066,0
10.8.0.6,180.179.9.97,324,0
157.185.188.1,10.8.0.6,196,0
180.179.9.97,10.8.0.6,1323,0
10.8.0.6,157.185.128.203,168,0
157.185.128.203,10.8.0.6,459,0
10.8.0.6,23.38.32.15,225,0
10.8.0.6,23.38.32.15,225,3.900000000101045e-05
10.8.0.6,23.38.32.15,225,0.001326999999999856
10.8.0.6,23.38.32.15,225,0.00035000000000096065
23.38.32.15,10.8.0.6,955,0
23.38.32.15,10.8.0.6,160,0.0005580000000016128
23.38.32.15,10.8.0.6,692,0.0010030000000007533
23.38.32.15,10.8.0.6,841,0.0007549999999980628
10.8.0.6,23.38.32.15,225,0.01173599999999908
23.38.32.15,10.8.0.6,790,0.011130999999998892
10.8.0.6,23.38.32.15,225,0.02193099999999859
10.8.0.6,23.38.32.15,225,0.004469000000000278
10.8.0.6,23.56.186.184,205,10.652367000000002
23.38.32.15,10.8.0.6,286,0.025040000000000617
10.8.0.6,23.38.32.15,225,0.003772000000001441
23.38.32.15,10.8.0.6,729,0.003133999999999304
23.56.186.184,10.8.0.6,765,10.652770999999998
10.8.0.6,23.56.186.184,205,0.021088999999999913
23.56.186.184,10.8.0.6,1235,0.02018200000000192
10.8.0.6,23.56.186.184,205,0.020247000000001236
23.38.32.15,10.8.0.6,942,0.03650400000000076
23.56.186.184,10.8.0.6,1135,0.02007599999999954
10.8.0.6,23.56.186.184,205,0.021281999999999357
23.56.186.184,10.8.0.6,885,0.02131999999999934
10.8.0.6,23.56.186.184,205,0.021159000000000816
23.56.186.184,10.8.0.6,1097,0.02150400000000019
10.8.0.6,23.56.186.184,205,0.02453199999999711
23.56.186.184,10.8.0.6,865,0.024570000000000647
10.8.0.6,180.179.9.91,314,0
180.179.9.91,10.8.0.6,407,0
10.8.0.6,157.185.129.21,632,0
157.185.129.21,10.8.0.6,295,0
10.8.0.6,157.185.129.21,622,2.125249999999994
10.8.0.6,157.185.129.21,644,0.0021910000000033847
157.185.129.21,10.8.0.6,671,0.7619930000000039
157.185.129.21,10.8.0.6,686,0.0055879999999959296
10.8.0.6,157.185.129.21,1212,4.438626999999997
157.185.129.21,10.8.0.6,63,4.507249000000002
10.8.0.6,157.185.188.1,1280,52.81446
10.8.0.6,157.185.188.1,1372,0.7005159999999933
157.185.188.1,10.8.0.6,430,53.505727
10.8.0.6,180.149.145.243,1362,0
180.149.145.243,10.8.0.6,45,0
10.8.0.6,180.149.145.243,1102,0.42199200000000303
10.8.0.6,180.149.145.243,1079,0.00018099999999776628
10.8.0.6,180.149.145.243,1077,0.0005319999999926495
180.149.145.243,10.8.0.6,45,0.40942400000000134
180.149.145.243,10.8.0.6,45,0.003862999999995509
10.8.0.6,180.149.145.243,1089,0.3461020000000019
10.8.0.6,180.149.145.243,1082,5.400000000577165e-05
10.8.0.6,180.149.145.243,1023,0.007956999999990444
10.8.0.6,180.149.145.243,1012,0.0012200000000035516
180.149.145.243,10.8.0.6,238,0.26024400000000014
